,start,end,values
0,1577833200,1577836800,347
1,1577836800,1577840400,348
2,1577840400,1577844000,347
3,1577844000,1577847600,348
4,1577847600,1577851200,348
5,1577851200,1577854800,347
6,1577854800,1577858400,348
7,1577858400,1577862000,348
8,1577862000,1577865600,349
9,1577865600,1577869200,349
10,1577869200,1577872800,349
11,1577872800,1577876400,348
12,1577876400,1577880000,349
13,1577880000,1577883600,348
14,1577883600,1577887200,347
15,1577887200,1577890800,348
16,1577890800,1577894400,348
17,1577894400,1577898000,348
18,1577898000,1577901600,345
19,1577901600,1577905200,345
20,1577905200,1577908800,345
21,1577908800,1577912400,345
22,1577912400,1577916000,344
23,1577916000,1577919600,342
24,1577919600,1577923200,340
25,1577923200,1577926800,341
26,1577926800,1577930400,342
27,1577930400,1577934000,342
28,1577934000,1577937600,342
29,1577937600,1577941200,342
30,1577941200,1577944800,342
31,1577944800,1577948400,344
32,1577948400,1577952000,341
33,1577952000,1577955600,341
34,1577955600,1577959200,341
35,1577959200,1577962800,342
36,1577962800,1577966400,341
37,1577966400,1577970000,341
38,1577970000,1577973600,341
39,1577973600,1577977200,342
40,1577977200,1577980800,345
41,1577980800,1577984400,344
42,1577984400,1577988000,344
43,1577988000,1577991600,344
44,1577991600,1577995200,342
45,1577995200,1577998800,342
46,1577998800,1578002400,342
47,1578002400,1578006000,341
48,1578006000,1578009600,342
49,1578009600,1578013200,335
50,1578013200,1578016800,332
51,1578016800,1578020400,332
52,1578020400,1578024000,330
53,1578024000,1578027600,331
54,1578027600,1578031200,331
55,1578031200,1578034800,329
56,1578034800,1578038400,329
57,1578038400,1578042000,332
58,1578042000,1578045600,332
59,1578045600,1578049200,332
60,1578049200,1578052800,332
61,1578052800,1578056400,330
62,1578056400,1578060000,330
63,1578060000,1578063600,331
64,1578063600,1578067200,329
65,1578067200,1578070800,326
66,1578070800,1578074400,326
67,1578074400,1578078000,330
68,1578078000,1578081600,332
69,1578081600,1578085200,332
70,1578085200,1578088800,333
71,1578088800,1578092400,332
72,1578092400,1578096000,328
73,1578096000,1578099600,330
74,1578099600,1578103200,331
75,1578103200,1578106800,332
76,1578106800,1578110400,333
77,1578110400,1578114000,332
78,1578114000,1578117600,331
79,1578117600,1578121200,333
80,1578121200,1578124800,332
81,1578124800,1578128400,331
82,1578128400,1578132000,329
83,1578132000,1578135600,333
84,1578135600,1578139200,333
85,1578139200,1578142800,332
86,1578142800,1578146400,333
87,1578146400,1578150000,332
88,1578150000,1578153600,332
89,1578153600,1578157200,332
90,1578157200,1578160800,330
91,1578160800,1578164400,331
92,1578164400,1578168000,332
93,1578168000,1578171600,332
94,1578171600,1578175200,332
95,1578175200,1578178800,332
96,1578178800,1578182400,334
97,1578182400,1578186000,333
98,1578186000,1578189600,333
99,1578189600,1578193200,332
100,1578193200,1578196800,331
101,1578196800,1578200400,331
102,1578200400,1578204000,333
103,1578204000,1578207600,333
104,1578207600,1578211200,333
105,1578211200,1578214800,332
106,1578214800,1578218400,332
107,1578218400,1578222000,332
108,1578222000,1578225600,332
109,1578225600,1578229200,330
110,1578229200,1578232800,329
111,1578232800,1578236400,332
112,1578236400,1578240000,331
113,1578240000,1578243600,331
114,1578243600,1578247200,328
115,1578247200,1578250800,327
116,1578250800,1578254400,328
117,1578254400,1578258000,328
118,1578258000,1578261600,330
119,1578261600,1578265200,330
120,1578265200,1578268800,330
121,1578268800,1578272400,330
122,1578272400,1578276000,331
123,1578276000,1578279600,330
124,1578279600,1578283200,332
125,1578283200,1578286800,332
126,1578286800,1578290400,333
127,1578290400,1578294000,333
128,1578294000,1578297600,334
129,1578297600,1578301200,332
130,1578301200,1578304800,334
131,1578304800,1578308400,333
132,1578308400,1578312000,334
133,1578312000,1578315600,333
134,1578315600,1578319200,332
135,1578319200,1578322800,333
136,1578322800,1578326400,333
137,1578326400,1578330000,333
138,1578330000,1578333600,333
139,1578333600,1578337200,332
140,1578337200,1578340800,333
141,1578340800,1578344400,333
142,1578344400,1578348000,334
143,1578348000,1578351600,334
144,1578351600,1578355200,333
145,1578355200,1578358800,332
146,1578358800,1578362400,333
147,1578362400,1578366000,333
148,1578366000,1578369600,333
149,1578369600,1578373200,333
150,1578373200,1578376800,334
151,1578376800,1578380400,335
152,1578380400,1578384000,333
153,1578384000,1578387600,332
154,1578387600,1578391200,332
155,1578391200,1578394800,333
156,1578394800,1578398400,333
157,1578398400,1578402000,333
158,1578402000,1578405600,332
159,1578405600,1578409200,333
160,1578409200,1578412800,330
161,1578412800,1578416400,331
162,1578416400,1578420000,332
163,1578420000,1578423600,333
164,1578423600,1578427200,332
165,1578427200,1578430800,333
166,1578430800,1578434400,333
167,1578434400,1578438000,332
168,1578438000,1578441600,332
169,1578441600,1578445200,333
170,1578445200,1578448800,333
171,1578448800,1578452400,334
172,1578452400,1578456000,333
173,1578456000,1578459600,333
174,1578459600,1578463200,333
175,1578463200,1578466800,332
176,1578466800,1578470400,332
177,1578470400,1578474000,331
178,1578474000,1578477600,332
179,1578477600,1578481200,336
180,1578481200,1578484800,348
181,1578484800,1578488400,345
182,1578488400,1578492000,344
183,1578492000,1578495600,344
184,1578495600,1578499200,345
185,1578499200,1578502800,349
186,1578502800,1578506400,351
187,1578506400,1578510000,350
188,1578510000,1578513600,350
189,1578513600,1578517200,349
190,1578517200,1578520800,348
191,1578520800,1578524400,349
192,1578524400,1578528000,349
193,1578528000,1578531600,349
194,1578531600,1578535200,349
195,1578535200,1578538800,353
196,1578538800,1578542400,355
197,1578542400,1578546000,354
198,1578546000,1578549600,355
199,1578549600,1578553200,355
200,1578553200,1578556800,358
201,1578556800,1578560400,357
202,1578560400,1578564000,357
203,1578564000,1578567600,357
204,1578567600,1578571200,357
205,1578571200,1578574800,356
206,1578574800,1578578400,356
207,1578578400,1578582000,356
208,1578582000,1578585600,357
209,1578585600,1578589200,356
210,1578589200,1578592800,356
211,1578592800,1578596400,357
212,1578596400,1578600000,358
213,1578600000,1578603600,353
214,1578603600,1578607200,357
215,1578607200,1578610800,356
216,1578610800,1578614400,356
217,1578614400,1578618000,355
218,1578618000,1578621600,357
219,1578621600,1578625200,358
220,1578625200,1578628800,356
221,1578628800,1578632400,355
222,1578632400,1578636000,354
223,1578636000,1578639600,354
224,1578639600,1578643200,353
225,1578643200,1578646800,342
226,1578646800,1578650400,342
227,1578650400,1578654000,342
228,1578654000,1578657600,337
229,1578657600,1578661200,337
230,1578661200,1578664800,337
231,1578664800,1578668400,336
232,1578668400,1578672000,336
