,start,end,values
0,1741820400,1741824000,0
1,1741824000,1741827600,0
2,1741827600,1741831200,0
3,1741831200,1741834800,0
4,1741834800,1741838400,0
5,1741838400,1741842000,0
6,1741842000,1741845600,0
7,1741845600,1741849200,0
8,1741849200,1741852800,0
9,1741852800,1741856400,0
10,1741856400,1741860000,0
11,1741860000,1741863600,0
12,1741863600,1741867200,0
13,1741867200,1741870800,0
14,1741870800,1741874400,0
15,1741874400,1741878000,0
16,1741878000,1741881600,0
17,1741881600,1741885200,0
18,1741885200,1741888800,0
19,1741888800,1741892400,0
20,1741892400,1741896000,0
21,1741896000,1741899600,0
22,1741899600,1741903200,0
23,1741903200,1741906800,0
24,1741906800,1741910400,0
25,1741910400,1741914000,0
26,1741914000,1741917600,0
27,1741917600,1741921200,0
28,1741921200,1741924800,0
29,1741924800,1741928400,0
30,1741928400,1741932000,0
31,1741932000,1741935600,0
32,1741935600,1741939200,0
33,1741939200,1741942800,0
34,1741942800,1741946400,0
35,1741946400,1741950000,0
36,1741950000,1741953600,0
37,1741953600,1741957200,0
38,1741957200,1741960800,0
39,1741960800,1741964400,0
40,1741964400,1741968000,0
41,1741968000,1741971600,0
42,1741971600,1741975200,0
43,1741975200,1741978800,0
44,1741978800,1741982400,0
45,1741982400,1741986000,0
46,1741986000,1741989600,0
47,1741989600,1741993200,0
48,1741993200,1741996800,0
49,1741996800,1742000400,0
50,1742000400,1742004000,0
51,1742004000,1742007600,0
52,1742007600,1742011200,0
53,1742011200,1742014800,0
54,1742014800,1742018400,0
55,1742018400,1742022000,0
56,1742022000,1742025600,0
57,1742025600,1742029200,0
58,1742029200,1742032800,0
59,1742032800,1742036400,0
60,1742036400,1742040000,0
61,1742040000,1742043600,0
62,1742043600,1742047200,0
63,1742047200,1742050800,0
64,1742050800,1742054400,0
65,1742054400,1742058000,0
66,1742058000,1742061600,0
67,1742061600,1742065200,0
68,1742065200,1742068800,0
69,1742068800,1742072400,0
70,1742072400,1742076000,0
71,1742076000,1742079600,0
72,1742079600,1742083200,0
73,1742083200,1742086800,0
74,1742086800,1742090400,0
75,1742090400,1742094000,0
76,1742094000,1742097600,0
77,1742097600,1742101200,0
78,1742101200,1742104800,0
79,1742104800,1742108400,0
80,1742108400,1742112000,0
81,1742112000,1742115600,0
82,1742115600,1742119200,0
83,1742119200,1742122800,0
84,1742122800,1742126400,0
85,1742126400,1742130000,0
86,1742130000,1742133600,0
87,1742133600,1742137200,0
88,1742137200,1742140800,0
89,1742140800,1742144400,0
90,1742144400,1742148000,0
91,1742148000,1742151600,0
92,1742151600,1742155200,0
93,1742155200,1742158800,0
94,1742158800,1742162400,0
95,1742162400,1742166000,0
96,1742166000,1742169600,0
97,1742169600,1742173200,0
98,1742173200,1742176800,0
99,1742176800,1742180400,0
100,1742180400,1742184000,0
101,1742184000,1742187600,0
102,1742187600,1742191200,0
103,1742191200,1742194800,0
104,1742194800,1742198400,0
105,1742198400,1742202000,0
106,1742202000,1742205600,0
107,1742205600,1742209200,0
108,1742209200,1742212800,0
109,1742212800,1742216400,0
110,1742216400,1742220000,0
111,1742220000,1742223600,0
112,1742223600,1742227200,0
113,1742227200,1742230800,0
114,1742230800,1742234400,0
115,1742234400,1742238000,0
116,1742238000,1742241600,0
117,1742241600,1742245200,0
118,1742245200,1742248800,0
119,1742248800,1742252400,0
120,1742252400,1742256000,0
121,1742256000,1742259600,0
122,1742259600,1742263200,0
123,1742263200,1742266800,0
124,1742266800,1742270400,0
125,1742270400,1742274000,0
126,1742274000,1742277600,0
127,1742277600,1742281200,0
128,1742281200,1742284800,0
129,1742284800,1742288400,0
130,1742288400,1742292000,0
131,1742292000,1742295600,0
132,1742295600,1742299200,0
133,1742299200,1742302800,0
134,1742302800,1742306400,0
135,1742306400,1742310000,0
136,1742310000,1742313600,0
137,1742313600,1742317200,0
138,1742317200,1742320800,0
139,1742320800,1742324400,0
140,1742324400,1742328000,0
