,start,end,values
0,1741820400,1741824000,240
1,1741824000,1741827600,-62
2,1741827600,1741831200,-285
3,1741831200,1741834800,-851
4,1741834800,1741838400,-999
5,1741838400,1741842000,-736
6,1741842000,1741845600,448
7,1741845600,1741849200,2842
8,1741849200,1741852800,3074
9,1741852800,1741856400,2567
10,1741856400,1741860000,1711
11,1741860000,1741863600,1130
12,1741863600,1741867200,522
13,1741867200,1741870800,350
14,1741870800,1741874400,112
15,1741874400,1741878000,226
16,1741878000,1741881600,259
17,1741881600,1741885200,1921
18,1741885200,1741888800,3620
19,1741888800,1741892400,4144
20,1741892400,1741896000,3643
21,1741896000,1741899600,2351
22,1741899600,1741903200,1486
23,1741903200,1741906800,740
24,1741906800,1741910400,790
25,1741910400,1741914000,221
26,1741914000,1741917600,-51
27,1741917600,1741921200,-117
28,1741921200,1741924800,95
29,1741924800,1741928400,512
30,1741928400,1741932000,2400
31,1741932000,1741935600,3473
32,1741935600,1741939200,3287
33,1741939200,1741942800,2945
34,1741942800,1741946400,596
35,1741946400,1741950000,127
36,1741950000,1741953600,-219
37,1741953600,1741957200,-700
38,1741957200,1741960800,-547
39,1741960800,1741964400,-634
40,1741964400,1741968000,-221
41,1741968000,1741971600,398
42,1741971600,1741975200,3170
43,1741975200,1741978800,3597
44,1741978800,1741982400,2462
45,1741982400,1741986000,1417
46,1741986000,1741989600,707
47,1741989600,1741993200,362
48,1741993200,1741996800,872
49,1741996800,1742000400,434
50,1742000400,1742004000,-316
51,1742004000,1742007600,-367
52,1742007600,1742011200,-957
53,1742011200,1742014800,-732
54,1742014800,1742018400,243
55,1742018400,1742022000,411
56,1742022000,1742025600,69
57,1742025600,1742029200,-1109
58,1742029200,1742032800,-2847
59,1742032800,1742036400,-3343
60,1742036400,1742040000,-3371
61,1742040000,1742043600,-3526
62,1742043600,1742047200,-3577
63,1742047200,1742050800,-3310
64,1742050800,1742054400,-2791
65,1742054400,1742058000,-1110
66,1742058000,1742061600,1351
67,1742061600,1742065200,3201
