,start,end,values
0,1577833200,1577836800,49003
1,1577836800,1577840400,49462
2,1577840400,1577844000,49565
3,1577844000,1577847600,49580
4,1577847600,1577851200,49271
5,1577851200,1577854800,49438
6,1577854800,1577858400,49542
7,1577858400,1577862000,49289
8,1577862000,1577865600,48860
9,1577865600,1577869200,48797
10,1577869200,1577872800,48703
11,1577872800,1577876400,48751
12,1577876400,1577880000,49217
13,1577880000,1577883600,49196
14,1577883600,1577887200,48992
15,1577887200,1577890800,49061
16,1577890800,1577894400,49333
17,1577894400,1577898000,49727
18,1577898000,1577901600,50117
19,1577901600,1577905200,50313
20,1577905200,1577908800,49956
21,1577908800,1577912400,50259
22,1577912400,1577916000,50052
23,1577916000,1577919600,49707
24,1577919600,1577923200,49707
25,1577923200,1577926800,49501
26,1577926800,1577930400,49315
27,1577930400,1577934000,49138
28,1577934000,1577937600,49223
29,1577937600,1577941200,49512
30,1577941200,1577944800,49780
31,1577944800,1577948400,49924
32,1577948400,1577952000,50174
33,1577952000,1577955600,50212
34,1577955600,1577959200,50376
35,1577959200,1577962800,50424
36,1577962800,1577966400,50426
37,1577966400,1577970000,50407
38,1577970000,1577973600,50383
39,1577973600,1577977200,50415
40,1577977200,1577980800,50491
41,1577980800,1577984400,50639
42,1577984400,1577988000,50702
43,1577988000,1577991600,50639
44,1577991600,1577995200,50409
45,1577995200,1577998800,50185
46,1577998800,1578002400,50258
47,1578002400,1578006000,50182
48,1578006000,1578009600,49394
49,1578009600,1578013200,48586
50,1578013200,1578016800,48046
51,1578016800,1578020400,47389
52,1578020400,1578024000,47272
53,1578024000,1578027600,47476
54,1578027600,1578031200,48445
55,1578031200,1578034800,49435
56,1578034800,1578038400,49590
57,1578038400,1578042000,49745
58,1578042000,1578045600,49695
59,1578045600,1578049200,49703
60,1578049200,1578052800,49317
61,1578052800,1578056400,48883
62,1578056400,1578060000,48970
63,1578060000,1578063600,48964
64,1578063600,1578067200,49076
65,1578067200,1578070800,49338
66,1578070800,1578074400,49401
67,1578074400,1578078000,49436
68,1578078000,1578081600,48630
69,1578081600,1578085200,48809
70,1578085200,1578088800,49336
71,1578088800,1578092400,48380
72,1578092400,1578096000,47177
73,1578096000,1578099600,46731
74,1578099600,1578103200,46980
75,1578103200,1578106800,47054
76,1578106800,1578110400,46680
77,1578110400,1578114000,46705
78,1578114000,1578117600,47286
79,1578117600,1578121200,48091
80,1578121200,1578124800,48169
81,1578124800,1578128400,48280
82,1578128400,1578132000,48536
83,1578132000,1578135600,48395
84,1578135600,1578139200,48277
85,1578139200,1578142800,48339
86,1578142800,1578146400,48122
87,1578146400,1578150000,47788
88,1578150000,1578153600,47834
89,1578153600,1578157200,48350
90,1578157200,1578160800,49274
91,1578160800,1578164400,49294
92,1578164400,1578168000,49171
93,1578168000,1578171600,49292
94,1578171600,1578175200,49267
95,1578175200,1578178800,49142
96,1578178800,1578182400,48958
97,1578182400,1578186000,48714
98,1578186000,1578189600,48977
99,1578189600,1578193200,48714
100,1578193200,1578196800,48808
101,1578196800,1578200400,48795
102,1578200400,1578204000,48860
103,1578204000,1578207600,49036
104,1578207600,1578211200,49161
105,1578211200,1578214800,48940
106,1578214800,1578218400,49539
107,1578218400,1578222000,49912
108,1578222000,1578225600,50022
109,1578225600,1578229200,50142
110,1578229200,1578232800,50262
111,1578232800,1578236400,49998
112,1578236400,1578240000,50219
113,1578240000,1578243600,51198
114,1578243600,1578247200,51553
115,1578247200,1578250800,51240
116,1578250800,1578254400,50986
117,1578254400,1578258000,50845
118,1578258000,1578261600,50626
119,1578261600,1578265200,50671
120,1578265200,1578268800,50385
121,1578268800,1578272400,50108
122,1578272400,1578276000,50204
123,1578276000,1578279600,50793
124,1578279600,1578283200,51096
125,1578283200,1578286800,51092
126,1578286800,1578290400,51645
127,1578290400,1578294000,51653
128,1578294000,1578297600,51780
129,1578297600,1578301200,51774
130,1578301200,1578304800,51914
131,1578304800,1578308400,52046
132,1578308400,1578312000,52138
133,1578312000,1578315600,52408
134,1578315600,1578319200,52586
135,1578319200,1578322800,52554
136,1578322800,1578326400,52563
137,1578326400,1578330000,52587
138,1578330000,1578333600,52478
139,1578333600,1578337200,52368
140,1578337200,1578340800,52308
141,1578340800,1578344400,52306
142,1578344400,1578348000,52359
143,1578348000,1578351600,52041
144,1578351600,1578355200,51727
145,1578355200,1578358800,51320
146,1578358800,1578362400,51011
147,1578362400,1578366000,50617
148,1578366000,1578369600,50210
149,1578369600,1578373200,50940
150,1578373200,1578376800,51745
151,1578376800,1578380400,52005
152,1578380400,1578384000,52064
153,1578384000,1578387600,52106
154,1578387600,1578391200,52150
155,1578391200,1578394800,52210
156,1578394800,1578398400,52298
157,1578398400,1578402000,52246
158,1578402000,1578405600,52207
159,1578405600,1578409200,52216
160,1578409200,1578412800,52247
161,1578412800,1578416400,52063
162,1578416400,1578420000,52518
163,1578420000,1578423600,52610
164,1578423600,1578427200,52370
165,1578427200,1578430800,52396
166,1578430800,1578434400,52297
167,1578434400,1578438000,52359
168,1578438000,1578441600,52109
169,1578441600,1578445200,51810
170,1578445200,1578448800,51120
171,1578448800,1578452400,49726
172,1578452400,1578456000,50202
173,1578456000,1578459600,51295
174,1578459600,1578463200,52804
175,1578463200,1578466800,52895
176,1578466800,1578470400,53214
177,1578470400,1578474000,53013
178,1578474000,1578477600,52533
179,1578477600,1578481200,52172
180,1578481200,1578484800,52179
181,1578484800,1578488400,52080
182,1578488400,1578492000,51646
183,1578492000,1578495600,51566
184,1578495600,1578499200,51554
185,1578499200,1578502800,51557
186,1578502800,1578506400,52113
187,1578506400,1578510000,52751
188,1578510000,1578513600,52686
189,1578513600,1578517200,52110
190,1578517200,1578520800,49420
191,1578520800,1578524400,47679
192,1578524400,1578528000,47605
193,1578528000,1578531600,47518
194,1578531600,1578535200,47624
195,1578535200,1578538800,47190
196,1578538800,1578542400,47596
197,1578542400,1578546000,47424
198,1578546000,1578549600,47699
199,1578549600,1578553200,47208
200,1578553200,1578556800,46325
201,1578556800,1578560400,46178
202,1578560400,1578564000,45730
203,1578564000,1578567600,45726
204,1578567600,1578571200,45546
205,1578571200,1578574800,45603
206,1578574800,1578578400,44399
207,1578578400,1578582000,44166
208,1578582000,1578585600,44247
209,1578585600,1578589200,44301
210,1578589200,1578592800,44503
211,1578592800,1578596400,44502
212,1578596400,1578600000,44492
213,1578600000,1578603600,44618
214,1578603600,1578607200,45607
215,1578607200,1578610800,47540
216,1578610800,1578614400,48637
217,1578614400,1578618000,48312
218,1578618000,1578621600,47956
219,1578621600,1578625200,47949
220,1578625200,1578628800,48017
221,1578628800,1578632400,48318
222,1578632400,1578636000,48549
223,1578636000,1578639600,48487
224,1578639600,1578643200,48750
225,1578643200,1578646800,49193
226,1578646800,1578650400,49165
227,1578650400,1578654000,49511
228,1578654000,1578657600,49767
229,1578657600,1578661200,49889
230,1578661200,1578664800,49949
231,1578664800,1578668400,49865
232,1578668400,1578672000,49907
233,1578672000,1578675600,49896
234,1578675600,1578679200,49874
235,1578679200,1578682800,50244
236,1578682800,1578686400,51056
237,1578686400,1578690000,51480
238,1578690000,1578693600,51867
239,1578693600,1578697200,51763
240,1578697200,1578700800,52082
241,1578700800,1578704400,51821
242,1578704400,1578708000,51807
243,1578708000,1578711600,51717
244,1578711600,1578715200,51918
245,1578715200,1578718800,51631
246,1578718800,1578722400,51645
247,1578722400,1578726000,52102
248,1578726000,1578729600,52548
249,1578729600,1578733200,52852
250,1578733200,1578736800,52623
251,1578736800,1578740400,52711
252,1578740400,1578744000,53045
253,1578744000,1578747600,53195
254,1578747600,1578751200,52796
255,1578751200,1578754800,51923
256,1578754800,1578758400,52166
257,1578758400,1578762000,52673
258,1578762000,1578765600,53138
259,1578765600,1578769200,53361
260,1578769200,1578772800,53254
261,1578772800,1578776400,53052
262,1578776400,1578780000,53645
263,1578780000,1578783600,53710
264,1578783600,1578787200,53763
265,1578787200,1578790800,53656
266,1578790800,1578794400,53462
267,1578794400,1578798000,51955
268,1578798000,1578801600,51115
269,1578801600,1578805200,50993
270,1578805200,1578808800,50635
271,1578808800,1578812400,50200
272,1578812400,1578816000,50626
273,1578816000,1578819600,50940
274,1578819600,1578823200,51655
275,1578823200,1578826800,51961
276,1578826800,1578830400,52377
277,1578830400,1578834000,51989
278,1578834000,1578837600,52283
279,1578837600,1578841200,52904
280,1578841200,1578844800,52580
281,1578844800,1578848400,52999
282,1578848400,1578852000,53910
283,1578852000,1578855600,54069
284,1578855600,1578859200,54136
285,1578859200,1578862800,53969
286,1578862800,1578866400,53741
287,1578866400,1578870000,53866
288,1578870000,1578873600,53872
289,1578873600,1578877200,53514
290,1578877200,1578880800,53742
291,1578880800,1578884400,53538
292,1578884400,1578888000,53126
293,1578888000,1578891600,53264
294,1578891600,1578895200,53697
295,1578895200,1578898800,53893
296,1578898800,1578902400,54282
297,1578902400,1578906000,54364
298,1578906000,1578909600,54460
299,1578909600,1578913200,54470
300,1578913200,1578916800,54483
301,1578916800,1578920400,54472
302,1578920400,1578924000,54472
303,1578924000,1578927600,54368
304,1578927600,1578931200,54333
305,1578931200,1578934800,54300
306,1578934800,1578938400,54203
307,1578938400,1578942000,54173
308,1578942000,1578945600,53994
309,1578945600,1578949200,52730
310,1578949200,1578952800,50936
311,1578952800,1578956400,50058
312,1578956400,1578960000,50578
313,1578960000,1578963600,50147
314,1578963600,1578967200,48798
315,1578967200,1578970800,47091
316,1578970800,1578974400,46840
317,1578974400,1578978000,48833
318,1578978000,1578981600,50777
319,1578981600,1578985200,50917
320,1578985200,1578988800,50577
321,1578988800,1578992400,50403
322,1578992400,1578996000,50632
323,1578996000,1578999600,50663
324,1578999600,1579003200,50669
325,1579003200,1579006800,50563
326,1579006800,1579010400,48710
327,1579010400,1579014000,47947
328,1579014000,1579017600,48599
329,1579017600,1579021200,48578
330,1579021200,1579024800,48619
331,1579024800,1579028400,48513
332,1579028400,1579032000,48440
333,1579032000,1579035600,48432
334,1579035600,1579039200,48637
335,1579039200,1579042800,49908
336,1579042800,1579046400,48801
337,1579046400,1579050000,48107
338,1579050000,1579053600,47654
339,1579053600,1579057200,46471
340,1579057200,1579060800,46231
341,1579060800,1579064400,48078
342,1579064400,1579068000,50261
343,1579068000,1579071600,50410
344,1579071600,1579075200,49837
345,1579075200,1579078800,50051
346,1579078800,1579082400,50726
347,1579082400,1579086000,50703
348,1579086000,1579089600,49953
349,1579089600,1579093200,49658
350,1579093200,1579096800,49687
351,1579096800,1579100400,49383
352,1579100400,1579104000,49287
353,1579104000,1579107600,49169
354,1579107600,1579111200,48971
355,1579111200,1579114800,48376
356,1579114800,1579118400,48270
357,1579118400,1579122000,48559
358,1579122000,1579125600,48212
359,1579125600,1579129200,48555
360,1579129200,1579132800,48617
361,1579132800,1579136400,49254
362,1579136400,1579140000,49470
363,1579140000,1579143600,49789
364,1579143600,1579147200,49723
365,1579147200,1579150800,50103
