,start,end,values
0,1741820400,1741824000,62000
1,1741824000,1741827600,60653
2,1741827600,1741831200,60348
3,1741831200,1741834800,59251
4,1741834800,1741838400,59271
5,1741838400,1741842000,60655
6,1741842000,1741845600,64018
7,1741845600,1741849200,68395
8,1741849200,1741852800,69852
9,1741852800,1741856400,70976
10,1741856400,1741860000,71399
11,1741860000,1741863600,70923
12,1741863600,1741867200,70198
13,1741867200,1741870800,69229
14,1741870800,1741874400,68037
15,1741874400,1741878000,67672
16,1741878000,1741881600,66598
17,1741881600,1741885200,68148
18,1741885200,1741888800,70491
19,1741888800,1741892400,71041
20,1741892400,1741896000,69752
21,1741896000,1741899600,67846
22,1741899600,1741903200,66290
23,1741903200,1741906800,64906
24,1741906800,1741910400,64498
25,1741910400,1741914000,63087
26,1741914000,1741917600,62595
27,1741917600,1741921200,62417
28,1741921200,1741924800,62752
29,1741924800,1741928400,64165
30,1741928400,1741932000,68128
31,1741932000,1741935600,71335
32,1741935600,1741939200,73330
33,1741939200,1741942800,75167
34,1741942800,1741946400,73741
35,1741946400,1741950000,72619
36,1741950000,1741953600,72684
37,1741953600,1741957200,71325
38,1741957200,1741960800,69742
39,1741960800,1741964400,68886
40,1741964400,1741968000,67840
41,1741968000,1741971600,68510
42,1741971600,1741975200,73124
43,1741975200,1741978800,74484
44,1741978800,1741982400,73179
45,1741982400,1741986000,70619
46,1741986000,1741989600,68935
47,1741989600,1741993200,67714
48,1741993200,1741996800,67904
49,1741996800,1742000400,65683
50,1742000400,1742004000,64352
51,1742004000,1742007600,63585
52,1742007600,1742011200,62661
53,1742011200,1742014800,63736
54,1742014800,1742018400,64930
55,1742018400,1742022000,66297
56,1742022000,1742025600,67472
57,1742025600,1742029200,68644
58,1742029200,1742032800,69190
59,1742032800,1742036400,70130
60,1742036400,1742040000,70334
61,1742040000,1742043600,69362
62,1742043600,1742047200,67483
63,1742047200,1742050800,65643
64,1742050800,1742054400,65300
65,1742054400,1742058000,66643
66,1742058000,1742061600,70139
67,1742061600,1742065200,72650
68,1742065200,1742068800,72074
69,1742068800,1742072400,69771
70,1742072400,1742076000,68922
71,1742076000,1742079600,67919
72,1742079600,1742083200,65718
73,1742083200,1742086800,63681
74,1742086800,1742090400,62995
75,1742090400,1742094000,61990
76,1742094000,1742097600,61394
77,1742097600,1742101200,61389
78,1742101200,1742104800,61183
79,1742104800,1742108400,60933
80,1742108400,1742112000,61809
81,1742112000,1742115600,61848
82,1742115600,1742119200,60629
83,1742119200,1742122800,59829
84,1742122800,1742126400,59697
85,1742126400,1742130000,58027
86,1742130000,1742133600,57333
87,1742133600,1742137200,58929
88,1742137200,1742140800,61125
89,1742140800,1742144400,62929
90,1742144400,1742148000,66511
91,1742148000,1742151600,69397
92,1742151600,1742155200,69410
93,1742155200,1742158800,68637
94,1742158800,1742162400,65365
95,1742162400,1742166000,62701
96,1742166000,1742169600,60653
97,1742169600,1742173200,60075
98,1742173200,1742176800,59670
99,1742176800,1742180400,59232
100,1742180400,1742184000,59234
101,1742184000,1742187600,62548
102,1742187600,1742191200,68193
103,1742191200,1742194800,70561
104,1742194800,1742198400,73336
105,1742198400,1742202000,73538
106,1742202000,1742205600,71580
107,1742205600,1742209200,71388
108,1742209200,1742212800,71831
109,1742212800,1742216400,71837
110,1742216400,1742220000,70797
111,1742220000,1742223600,69878
112,1742223600,1742227200,68223
113,1742227200,1742230800,67989
114,1742230800,1742234400,71693
115,1742234400,1742238000,75049
116,1742238000,1742241600,74611
117,1742241600,1742245200,72505
118,1742245200,1742248800,70546
119,1742248800,1742252400,68420
120,1742252400,1742256000,66798
121,1742256000,1742259600,66157
122,1742259600,1742263200,65696
123,1742263200,1742266800,64838
124,1742266800,1742270400,64577
125,1742270400,1742274000,66904
126,1742274000,1742277600,71948
127,1742277600,1742281200,74556
128,1742281200,1742284800,74560
129,1742284800,1742288400,72497
130,1742288400,1742292000,70424
131,1742292000,1742295600,67988
132,1742295600,1742299200,66666
133,1742299200,1742302800,65936
134,1742302800,1742306400,64464
135,1742306400,1742310000,63890
136,1742310000,1742313600,61124
137,1742313600,1742317200,61944
138,1742317200,1742320800,67105
139,1742320800,1742324400,71650
140,1742324400,1742328000,71446
141,1742328000,1742331600,69175
142,1742331600,1742335200,67262
143,1742335200,1742338800,66686
144,1742338800,1742342400,64352
145,1742342400,1742346000,62405
146,1742346000,1742349600,61553
147,1742349600,1742353200,60056
148,1742353200,1742356800,59830
149,1742356800,1742360400,62336
150,1742360400,1742364000,67050
151,1742364000,1742367600,69842
152,1742367600,1742371200,69803
153,1742371200,1742374800,67652
154,1742374800,1742378400,65455
155,1742378400,1742382000,62906
156,1742382000,1742385600,63318
157,1742385600,1742389200,63793
158,1742389200,1742392800,62380
159,1742392800,1742396400,60976
160,1742396400,1742400000,60782
161,1742400000,1742403600,61359
162,1742403600,1742407200,65290
163,1742407200,1742410800,68611
164,1742410800,1742414400,67193
165,1742414400,1742418000,64234
166,1742418000,1742421600,63735
167,1742421600,1742425200,63560
168,1742425200,1742428800,62046
169,1742428800,1742432400,59656
170,1742432400,1742436000,58827
171,1742436000,1742439600,57213
172,1742439600,1742443200,56432
173,1742443200,1742446800,58919
174,1742446800,1742450400,63622
175,1742450400,1742454000,68282
176,1742454000,1742457600,69452
177,1742457600,1742461200,67366
178,1742461200,1742464800,64676
179,1742464800,1742468400,61970
180,1742468400,1742472000,59831
181,1742472000,1742475600,59462
182,1742475600,1742479200,58783
183,1742479200,1742482800,58996
184,1742482800,1742486400,58966
185,1742486400,1742490000,59704
186,1742490000,1742493600,63632
187,1742493600,1742497200,66372
188,1742497200,1742500800,65772
189,1742500800,1742504400,63315
190,1742504400,1742508000,61961
191,1742508000,1742511600,60817
192,1742511600,1742515200,58732
193,1742515200,1742518800,56344
