,start,end,values
0,1577833200,1577836800,217
1,1577836800,1577840400,216
2,1577840400,1577844000,216
3,1577844000,1577847600,217
4,1577847600,1577851200,217
5,1577851200,1577854800,218
6,1577854800,1577858400,217
7,1577858400,1577862000,218
8,1577862000,1577865600,217
9,1577865600,1577869200,217
10,1577869200,1577872800,216
11,1577872800,1577876400,218
12,1577876400,1577880000,217
13,1577880000,1577883600,215
14,1577883600,1577887200,215
15,1577887200,1577890800,215
16,1577890800,1577894400,215
17,1577894400,1577898000,213
18,1577898000,1577901600,214
19,1577901600,1577905200,213
20,1577905200,1577908800,213
21,1577908800,1577912400,213
22,1577912400,1577916000,212
23,1577916000,1577919600,211
24,1577919600,1577923200,213
25,1577923200,1577926800,214
26,1577926800,1577930400,214
27,1577930400,1577934000,214
28,1577934000,1577937600,216
29,1577937600,1577941200,213
30,1577941200,1577944800,212
31,1577944800,1577948400,213
32,1577948400,1577952000,216
33,1577952000,1577955600,215
34,1577955600,1577959200,210
35,1577959200,1577962800,211
36,1577962800,1577966400,213
37,1577966400,1577970000,214
38,1577970000,1577973600,214
39,1577973600,1577977200,214
40,1577977200,1577980800,214
41,1577980800,1577984400,216
42,1577984400,1577988000,217
43,1577988000,1577991600,218
44,1577991600,1577995200,217
45,1577995200,1577998800,218
46,1577998800,1578002400,218
47,1578002400,1578006000,218
48,1578006000,1578009600,218
49,1578009600,1578013200,218
50,1578013200,1578016800,218
51,1578016800,1578020400,219
52,1578020400,1578024000,219
53,1578024000,1578027600,218
54,1578027600,1578031200,218
55,1578031200,1578034800,216
56,1578034800,1578038400,217
57,1578038400,1578042000,218
58,1578042000,1578045600,217
59,1578045600,1578049200,218
60,1578049200,1578052800,217
61,1578052800,1578056400,219
62,1578056400,1578060000,218
63,1578060000,1578063600,218
64,1578063600,1578067200,218
65,1578067200,1578070800,220
66,1578070800,1578074400,220
67,1578074400,1578078000,220
68,1578078000,1578081600,220
69,1578081600,1578085200,219
70,1578085200,1578088800,221
71,1578088800,1578092400,222
72,1578092400,1578096000,221
73,1578096000,1578099600,221
74,1578099600,1578103200,220
75,1578103200,1578106800,220
76,1578106800,1578110400,221
77,1578110400,1578114000,219
78,1578114000,1578117600,217
79,1578117600,1578121200,217
80,1578121200,1578124800,217
81,1578124800,1578128400,216
82,1578128400,1578132000,216
83,1578132000,1578135600,216
84,1578135600,1578139200,215
85,1578139200,1578142800,211
86,1578142800,1578146400,211
87,1578146400,1578150000,213
88,1578150000,1578153600,212
89,1578153600,1578157200,213
90,1578157200,1578160800,214
91,1578160800,1578164400,214
92,1578164400,1578168000,213
93,1578168000,1578171600,213
94,1578171600,1578175200,213
95,1578175200,1578178800,214
96,1578178800,1578182400,214
97,1578182400,1578186000,213
98,1578186000,1578189600,213
99,1578189600,1578193200,214
100,1578193200,1578196800,214
101,1578196800,1578200400,213
102,1578200400,1578204000,213
103,1578204000,1578207600,212
104,1578207600,1578211200,213
105,1578211200,1578214800,213
106,1578214800,1578218400,213
107,1578218400,1578222000,213
108,1578222000,1578225600,213
109,1578225600,1578229200,212
110,1578229200,1578232800,212
111,1578232800,1578236400,212
112,1578236400,1578240000,213
113,1578240000,1578243600,213
114,1578243600,1578247200,211
115,1578247200,1578250800,213
116,1578250800,1578254400,213
117,1578254400,1578258000,214
118,1578258000,1578261600,214
119,1578261600,1578265200,213
120,1578265200,1578268800,214
121,1578268800,1578272400,214
122,1578272400,1578276000,211
123,1578276000,1578279600,206
124,1578279600,1578283200,205
125,1578283200,1578286800,203
126,1578286800,1578290400,203
127,1578290400,1578294000,205
128,1578294000,1578297600,208
129,1578297600,1578301200,209
130,1578301200,1578304800,209
131,1578304800,1578308400,210
132,1578308400,1578312000,212
133,1578312000,1578315600,209
134,1578315600,1578319200,210
135,1578319200,1578322800,210
136,1578322800,1578326400,209
137,1578326400,1578330000,214
138,1578330000,1578333600,216
139,1578333600,1578337200,216
140,1578337200,1578340800,215
141,1578340800,1578344400,217
142,1578344400,1578348000,222
143,1578348000,1578351600,221
144,1578351600,1578355200,221
145,1578355200,1578358800,221
146,1578358800,1578362400,220
147,1578362400,1578366000,221
148,1578366000,1578369600,222
149,1578369600,1578373200,217
150,1578373200,1578376800,220
151,1578376800,1578380400,219
152,1578380400,1578384000,221
153,1578384000,1578387600,221
154,1578387600,1578391200,221
155,1578391200,1578394800,222
156,1578394800,1578398400,221
157,1578398400,1578402000,221
158,1578402000,1578405600,219
159,1578405600,1578409200,221
160,1578409200,1578412800,220
161,1578412800,1578416400,220
162,1578416400,1578420000,220
163,1578420000,1578423600,222
164,1578423600,1578427200,220
165,1578427200,1578430800,219
166,1578430800,1578434400,217
167,1578434400,1578438000,217
168,1578438000,1578441600,221
169,1578441600,1578445200,224
170,1578445200,1578448800,222
171,1578448800,1578452400,218
172,1578452400,1578456000,217
173,1578456000,1578459600,219
174,1578459600,1578463200,218
175,1578463200,1578466800,220
176,1578466800,1578470400,220
177,1578470400,1578474000,219
178,1578474000,1578477600,218
179,1578477600,1578481200,218
180,1578481200,1578484800,219
181,1578484800,1578488400,218
182,1578488400,1578492000,216
183,1578492000,1578495600,215
184,1578495600,1578499200,218
185,1578499200,1578502800,221
186,1578502800,1578506400,220
187,1578506400,1578510000,220
188,1578510000,1578513600,220
189,1578513600,1578517200,222
190,1578517200,1578520800,225
191,1578520800,1578524400,223
192,1578524400,1578528000,223
193,1578528000,1578531600,222
194,1578531600,1578535200,222
195,1578535200,1578538800,221
196,1578538800,1578542400,221
197,1578542400,1578546000,220
198,1578546000,1578549600,218
199,1578549600,1578553200,219
200,1578553200,1578556800,219
201,1578556800,1578560400,220
202,1578560400,1578564000,221
203,1578564000,1578567600,219
204,1578567600,1578571200,219
205,1578571200,1578574800,217
206,1578574800,1578578400,217
207,1578578400,1578582000,214
208,1578582000,1578585600,217
209,1578585600,1578589200,203
210,1578589200,1578592800,216
211,1578592800,1578596400,219
212,1578596400,1578600000,217
213,1578600000,1578603600,220
214,1578603600,1578607200,222
215,1578607200,1578610800,222
216,1578610800,1578614400,222
217,1578614400,1578618000,223
218,1578618000,1578621600,222
219,1578621600,1578625200,222
220,1578625200,1578628800,223
221,1578628800,1578632400,213
222,1578632400,1578636000,210
223,1578636000,1578639600,216
224,1578639600,1578643200,219
225,1578643200,1578646800,219
226,1578646800,1578650400,218
227,1578650400,1578654000,219
228,1578654000,1578657600,202
229,1578657600,1578661200,217
230,1578661200,1578664800,221
231,1578664800,1578668400,221
232,1578668400,1578672000,222
233,1578672000,1578675600,221
234,1578675600,1578679200,221
235,1578679200,1578682800,222
236,1578682800,1578686400,221
237,1578686400,1578690000,221
238,1578690000,1578693600,221
239,1578693600,1578697200,223
240,1578697200,1578700800,221
241,1578700800,1578704400,221
242,1578704400,1578708000,223
243,1578708000,1578711600,223
244,1578711600,1578715200,222
245,1578715200,1578718800,222
246,1578718800,1578722400,220
247,1578722400,1578726000,220
248,1578726000,1578729600,220
249,1578729600,1578733200,220
250,1578733200,1578736800,219
251,1578736800,1578740400,220
252,1578740400,1578744000,221
253,1578744000,1578747600,220
254,1578747600,1578751200,220
255,1578751200,1578754800,220
256,1578754800,1578758400,221
257,1578758400,1578762000,221
258,1578762000,1578765600,222
259,1578765600,1578769200,221
260,1578769200,1578772800,221
261,1578772800,1578776400,220
262,1578776400,1578780000,221
263,1578780000,1578783600,222
264,1578783600,1578787200,223
265,1578787200,1578790800,223
266,1578790800,1578794400,223
267,1578794400,1578798000,222
268,1578798000,1578801600,223
269,1578801600,1578805200,221
270,1578805200,1578808800,221
271,1578808800,1578812400,221
272,1578812400,1578816000,221
273,1578816000,1578819600,221
274,1578819600,1578823200,221
275,1578823200,1578826800,220
276,1578826800,1578830400,222
277,1578830400,1578834000,222
278,1578834000,1578837600,222
279,1578837600,1578841200,222
280,1578841200,1578844800,221
281,1578844800,1578848400,221
282,1578848400,1578852000,221
283,1578852000,1578855600,221
284,1578855600,1578859200,222
285,1578859200,1578862800,220
286,1578862800,1578866400,214
287,1578866400,1578870000,221
288,1578870000,1578873600,221
289,1578873600,1578877200,222
290,1578877200,1578880800,222
291,1578880800,1578884400,222
292,1578884400,1578888000,220
293,1578888000,1578891600,221
294,1578891600,1578895200,220
295,1578895200,1578898800,221
296,1578898800,1578902400,219
297,1578902400,1578906000,219
298,1578906000,1578909600,219
