,start,end,values
0,1741820400,1741824000,187
1,1741824000,1741827600,274
2,1741827600,1741831200,357
3,1741831200,1741834800,339
4,1741834800,1741838400,571
5,1741838400,1741842000,680
6,1741842000,1741845600,764
7,1741845600,1741849200,755
8,1741849200,1741852800,672
9,1741852800,1741856400,597
10,1741856400,1741860000,452
11,1741860000,1741863600,338
12,1741863600,1741867200,305
13,1741867200,1741870800,323
14,1741870800,1741874400,252
15,1741874400,1741878000,264
16,1741878000,1741881600,303
17,1741881600,1741885200,396
18,1741885200,1741888800,303
19,1741888800,1741892400,404
20,1741892400,1741896000,242
21,1741896000,1741899600,237
22,1741899600,1741903200,306
23,1741903200,1741906800,151
24,1741906800,1741910400,106
25,1741910400,1741914000,171
26,1741914000,1741917600,125
27,1741917600,1741921200,141
28,1741921200,1741924800,118
29,1741924800,1741928400,102
30,1741928400,1741932000,163
31,1741932000,1741935600,89
32,1741935600,1741939200,101
33,1741939200,1741942800,84
34,1741942800,1741946400,170
35,1741946400,1741950000,198
36,1741950000,1741953600,148
37,1741953600,1741957200,153
38,1741957200,1741960800,117
39,1741960800,1741964400,241
40,1741964400,1741968000,250
41,1741968000,1741971600,437
42,1741971600,1741975200,595
43,1741975200,1741978800,835
44,1741978800,1741982400,883
45,1741982400,1741986000,852
46,1741986000,1741989600,997
47,1741989600,1741993200,1103
48,1741993200,1741996800,910
49,1741996800,1742000400,897
50,1742000400,1742004000,1013
51,1742004000,1742007600,920
52,1742007600,1742011200,917
53,1742011200,1742014800,1034
54,1742014800,1742018400,1081
55,1742018400,1742022000,1080
56,1742022000,1742025600,1123
57,1742025600,1742029200,1147
58,1742029200,1742032800,1002
59,1742032800,1742036400,882
60,1742036400,1742040000,975
61,1742040000,1742043600,922
62,1742043600,1742047200,1025
63,1742047200,1742050800,1018
64,1742050800,1742054400,1039
65,1742054400,1742058000,1235
66,1742058000,1742061600,1301
67,1742061600,1742065200,1305
68,1742065200,1742068800,1349
69,1742068800,1742072400,1329
70,1742072400,1742076000,1293
71,1742076000,1742079600,1277
72,1742079600,1742083200,1172
73,1742083200,1742086800,1176
74,1742086800,1742090400,1119
75,1742090400,1742094000,1162
76,1742094000,1742097600,1150
77,1742097600,1742101200,1076
78,1742101200,1742104800,1105
79,1742104800,1742108400,1108
80,1742108400,1742112000,1025
81,1742112000,1742115600,1068
82,1742115600,1742119200,1007
83,1742119200,1742122800,954
84,1742122800,1742126400,929
85,1742126400,1742130000,944
86,1742130000,1742133600,1009
87,1742133600,1742137200,958
88,1742137200,1742140800,1018
89,1742140800,1742144400,1106
90,1742144400,1742148000,1119
91,1742148000,1742151600,1045
92,1742151600,1742155200,1081
93,1742155200,1742158800,1062
94,1742158800,1742162400,1082
95,1742162400,1742166000,1107
96,1742166000,1742169600,1047
97,1742169600,1742173200,933
98,1742173200,1742176800,904
99,1742176800,1742180400,860
100,1742180400,1742184000,864
101,1742184000,1742187600,866
102,1742187600,1742191200,935
103,1742191200,1742194800,870
104,1742194800,1742198400,790
105,1742198400,1742202000,763
106,1742202000,1742205600,696
107,1742205600,1742209200,692
108,1742209200,1742212800,792
109,1742212800,1742216400,719
110,1742216400,1742220000,756
111,1742220000,1742223600,952
112,1742223600,1742227200,1258
113,1742227200,1742230800,1284
114,1742230800,1742234400,1263
115,1742234400,1742238000,1150
116,1742238000,1742241600,1208
117,1742241600,1742245200,1198
118,1742245200,1742248800,1288
119,1742248800,1742252400,1227
120,1742252400,1742256000,1201
121,1742256000,1742259600,1164
122,1742259600,1742263200,1118
123,1742263200,1742266800,1173
124,1742266800,1742270400,1233
125,1742270400,1742274000,1201
126,1742274000,1742277600,1033
127,1742277600,1742281200,947
128,1742281200,1742284800,878
129,1742284800,1742288400,851
130,1742288400,1742292000,44
131,1742292000,1742295600,479
132,1742295600,1742299200,551
133,1742299200,1742302800,636
134,1742302800,1742306400,746
135,1742306400,1742310000,731
136,1742310000,1742313600,603
137,1742313600,1742317200,519
138,1742317200,1742320800,596
139,1742320800,1742324400,567
140,1742324400,1742328000,477
141,1742328000,1742331600,383
142,1742331600,1742335200,370
143,1742335200,1742338800,380
144,1742338800,1742342400,385
145,1742342400,1742346000,458
146,1742346000,1742349600,491
147,1742349600,1742353200,521
148,1742353200,1742356800,568
149,1742356800,1742360400,561
150,1742360400,1742364000,518
151,1742364000,1742367600,561
152,1742367600,1742371200,584
153,1742371200,1742374800,621
154,1742374800,1742378400,596
155,1742378400,1742382000,583
156,1742382000,1742385600,559
157,1742385600,1742389200,595
158,1742389200,1742392800,147
159,1742392800,1742396400,115
160,1742396400,1742400000,553
161,1742400000,1742403600,513
162,1742403600,1742407200,528
163,1742407200,1742410800,386
164,1742410800,1742414400,379
165,1742414400,1742418000,462
166,1742418000,1742421600,623
167,1742421600,1742425200,646
168,1742425200,1742428800,685
169,1742428800,1742432400,767
170,1742432400,1742436000,757
171,1742436000,1742439600,668
172,1742439600,1742443200,549
173,1742443200,1742446800,513
174,1742446800,1742450400,555
175,1742450400,1742454000,675
176,1742454000,1742457600,725
177,1742457600,1742461200,682
178,1742461200,1742464800,639
179,1742464800,1742468400,653
180,1742468400,1742472000,647
181,1742472000,1742475600,702
182,1742475600,1742479200,659
183,1742479200,1742482800,722
184,1742482800,1742486400,839
185,1742486400,1742490000,847
186,1742490000,1742493600,839
187,1742493600,1742497200,766
188,1742497200,1742500800,730
189,1742500800,1742504400,836
190,1742504400,1742508000,895
191,1742508000,1742511600,802
192,1742511600,1742515200,779
193,1742515200,1742518800,805
194,1742518800,1742522400,812
195,1742522400,1742526000,795
196,1742526000,1742529600,777
197,1742529600,1742533200,836
198,1742533200,1742536800,868
199,1742536800,1742540400,807
200,1742540400,1742544000,846
201,1742544000,1742547600,1027
202,1742547600,1742551200,938
203,1742551200,1742554800,1015
204,1742554800,1742558400,1039
205,1742558400,1742562000,899
206,1742562000,1742565600,915
207,1742565600,1742569200,1056
208,1742569200,1742572800,1062
209,1742572800,1742576400,1161
210,1742576400,1742580000,1210
211,1742580000,1742583600,1143
212,1742583600,1742587200,1105
213,1742587200,1742590800,1170
214,1742590800,1742594400,1214
215,1742594400,1742598000,1202
216,1742598000,1742601600,926
217,1742601600,1742605200,751
218,1742605200,1742608800,723
219,1742608800,1742612400,833
220,1742612400,1742616000,752
221,1742616000,1742619600,669
222,1742619600,1742623200,637
223,1742623200,1742626800,561
224,1742626800,1742630400,456
225,1742630400,1742634000,402
226,1742634000,1742637600,317
227,1742637600,1742641200,308
