datetime,timestamp,station,station_name,direct_normal_irradiance,cloud_cover,sunshine_duration,precipitation,surface_pressure,relative_humidity_2m,temperature_2m,wind_speed_10m,shortwave_radiation
2020-01-01 00:00:00,1577833200,Bugnicourt,Bugnicourt,0.0,5,0.0,0.0,1027.4,92,-0.7,7.7,0.0
2020-01-01 01:00:00,1577836800,Bugnicourt,Bugnicourt,0.0,5,0.0,0.0,1027.1,91,-0.4,8.4,0.0
2020-01-01 02:00:00,1577840400,Bugnicourt,Bugnicourt,0.0,19,0.0,0.0,1026.8,91,-0.4,7.2,0.0
2020-01-01 03:00:00,1577844000,Bugnicourt,Bugnicourt,0.0,0,0.0,0.0,1026.6,91,-0.6,8.4,0.0
2020-01-01 04:00:00,1577847600,Bugnicourt,Bugnicourt,0.0,32,0.0,0.0,1026.4,91,-1.1,7.7,0.0
2020-01-01 05:00:00,1577851200,Bugnicourt,Bugnicourt,0.0,41,0.0,0.0,1025.8,91,-0.5,9.5,0.0
2020-01-01 06:00:00,1577854800,Bugnicourt,Bugnicourt,0.0,53,0.0,0.0,1025.2,91,-0.1,10.4,0.0
2020-01-01 07:00:00,1577858400,Bugnicourt,Bugnicourt,0.0,59,0.0,0.0,1025.4,93,-0.1,10.9,0.0
2020-01-01 08:00:00,1577862000,Bugnicourt,Bugnicourt,0.0,80,0.0,0.0,1025.1,95,-0.2,12.6,0.0
2020-01-01 09:00:00,1577865600,Bugnicourt,Bugnicourt,0.0,83,0.0,0.0,1025.5,95,-0.3,11.5,0.0
2020-01-01 10:00:00,1577869200,Bugnicourt,Bugnicourt,0.0,93,0.0,0.0,1025.8,96,-0.3,10.5,0.0
2020-01-01 11:00:00,1577872800,Bugnicourt,Bugnicourt,48.6,100,0.0,0.0,1025.9,94,0.7,12.2,31.0
2020-01-01 12:00:00,1577876400,Bugnicourt,Bugnicourt,28.0,100,0.0,0.0,1026.0,94,1.5,12.3,76.0
2020-01-01 13:00:00,1577880000,Bugnicourt,Bugnicourt,8.0,100,0.0,0.0,1025.9,93,2.0,13.8,100.0
2020-01-01 14:00:00,1577883600,Bugnicourt,Bugnicourt,17.7,100,0.0,0.0,1026.1,95,1.4,12.3,103.0
2020-01-01 15:00:00,1577887200,Bugnicourt,Bugnicourt,10.8,100,0.0,0.0,1025.5,93,1.8,12.2,88.0
2020-01-01 16:00:00,1577890800,Bugnicourt,Bugnicourt,8.6,100,0.0,0.0,1025.0,94,1.9,11.4,63.0
2020-01-01 17:00:00,1577894400,Bugnicourt,Bugnicourt,6.7,100,0.0,0.0,1025.1,95,1.9,11.4,33.0
2020-01-01 18:00:00,1577898000,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1025.3,96,1.7,10.3,6.0
2020-01-01 19:00:00,1577901600,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1025.1,96,1.7,11.4,0.0
2020-01-01 20:00:00,1577905200,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1024.9,95,1.8,13.2,0.0
2020-01-01 21:00:00,1577908800,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1024.5,95,2.0,14.3,0.0
2020-01-01 22:00:00,1577912400,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1024.2,95,2.0,14.1,0.0
2020-01-01 23:00:00,1577916000,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1024.3,94,2.1,13.0,0.0
2020-01-02 00:00:00,1577919600,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1023.9,94,2.2,11.7,0.0
2020-01-02 01:00:00,1577923200,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1023.6,94,2.3,10.9,0.0
2020-01-02 02:00:00,1577926800,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1023.5,91,2.2,12.2,0.0
2020-01-02 03:00:00,1577930400,Bugnicourt,Bugnicourt,0.0,97,0.0,0.0,1022.8,92,2.1,11.7,0.0
2020-01-02 04:00:00,1577934000,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1022.4,94,2.0,11.6,0.0
2020-01-02 05:00:00,1577937600,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1022.2,93,2.5,12.1,0.0
2020-01-02 06:00:00,1577941200,Bugnicourt,Bugnicourt,0.0,99,0.0,0.0,1021.9,93,2.9,11.8,0.0
2020-01-02 07:00:00,1577944800,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1021.3,93,3.2,11.9,0.0
2020-01-02 08:00:00,1577948400,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1020.8,94,3.5,12.1,0.0
2020-01-02 09:00:00,1577952000,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1020.7,95,3.8,11.8,0.0
2020-01-02 10:00:00,1577955600,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1020.7,95,4.2,12.1,0.0
2020-01-02 11:00:00,1577959200,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1020.6,94,4.7,13.1,19.0
2020-01-02 12:00:00,1577962800,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1020.5,91,5.5,15.5,43.0
2020-01-02 13:00:00,1577966400,Bugnicourt,Bugnicourt,12.0,100,0.0,0.0,1019.8,90,6.0,15.9,52.0
2020-01-02 14:00:00,1577970000,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1019.8,90,5.3,14.9,47.0
2020-01-02 15:00:00,1577973600,Bugnicourt,Bugnicourt,3.6,99,0.0,0.0,1018.7,91,5.7,16.7,48.0
2020-01-02 16:00:00,1577977200,Bugnicourt,Bugnicourt,60.0,71,0.19,0.0,1018.0,91,6.2,15.1,81.0
2020-01-02 17:00:00,1577980800,Bugnicourt,Bugnicourt,158.2,69,2945.19,0.0,1017.4,92,6.7,17.2,73.0
2020-01-02 18:00:00,1577984400,Bugnicourt,Bugnicourt,69.3,92,66.29,0.0,1017.4,95,6.3,17.9,17.0
2020-01-02 19:00:00,1577988000,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1017.1,95,6.7,17.8,0.0
2020-01-02 20:00:00,1577991600,Bugnicourt,Bugnicourt,0.0,99,0.0,0.0,1016.6,93,7.4,20.4,0.0
2020-01-02 21:00:00,1577995200,Bugnicourt,Bugnicourt,0.0,98,0.0,0.0,1016.1,94,7.3,18.8,0.0
2020-01-02 22:00:00,1577998800,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1015.7,92,7.8,21.4,0.0
2020-01-02 23:00:00,1578002400,Bugnicourt,Bugnicourt,0.0,100,0.0,0.0,1015.5,91,8.2,22.7,0.0
2020-01-03 00:00:00,1578006000,Bugnicourt,Bugnicourt,0.0,100,0.0,0.1,1015.3,91,8.3,21.1,0.0
