datetime,timestamp,station,station_name,direct_normal_irradiance,cloud_cover,sunshine_duration,precipitation,surface_pressure,relative_humidity_2m,temperature_2m,wind_speed_10m,shortwave_radiation
2020-01-01 00:00:00,1577833200,Dechy,Dechy,0.0,0,0.0,0.0,1028.8,93,-0.2,7.3,0.0
2020-01-01 01:00:00,1577836800,Dechy,Dechy,0.0,3,0.0,0.0,1028.5,91,-0.5,7.4,0.0
2020-01-01 02:00:00,1577840400,Dechy,Dechy,0.0,8,0.0,0.0,1028.4,90,-0.2,8.7,0.0
2020-01-01 03:00:00,1577844000,Dechy,Dechy,0.0,0,0.0,0.0,1028.0,90,-0.3,9.9,0.0
2020-01-01 04:00:00,1577847600,Dechy,Dechy,0.0,27,0.0,0.0,1027.8,90,-0.7,8.0,0.0
2020-01-01 05:00:00,1577851200,Dechy,Dechy,0.0,37,0.0,0.0,1027.2,90,-0.5,8.7,0.0
2020-01-01 06:00:00,1577854800,Dechy,Dechy,0.0,49,0.0,0.0,1026.7,91,-0.3,8.8,0.0
2020-01-01 07:00:00,1577858400,Dechy,Dechy,0.0,54,0.0,0.0,1026.8,92,-0.2,9.9,0.0
2020-01-01 08:00:00,1577862000,Dechy,Dechy,0.0,72,0.0,0.0,1026.5,94,-0.1,11.9,0.0
2020-01-01 09:00:00,1577865600,Dechy,Dechy,0.0,75,0.0,0.0,1026.9,95,-0.3,11.2,0.0
2020-01-01 10:00:00,1577869200,Dechy,Dechy,0.0,93,0.0,0.0,1027.2,96,-0.3,9.8,0.0
2020-01-01 11:00:00,1577872800,Dechy,Dechy,58.6,100,0.0,0.0,1027.4,94,0.7,12.3,32.0
2020-01-01 12:00:00,1577876400,Dechy,Dechy,28.2,100,0.0,0.0,1027.4,94,1.5,11.7,73.0
2020-01-01 13:00:00,1577880000,Dechy,Dechy,0.0,100,0.0,0.0,1027.3,94,2.0,13.0,93.0
2020-01-01 14:00:00,1577883600,Dechy,Dechy,0.0,100,0.0,0.0,1027.5,95,1.5,12.3,97.0
2020-01-01 15:00:00,1577887200,Dechy,Dechy,10.9,100,0.0,0.0,1026.8,93,1.9,12.2,87.0
2020-01-01 16:00:00,1577890800,Dechy,Dechy,4.3,100,0.0,0.0,1026.3,93,2.0,11.3,63.0
