datetime,timestamp,station,station_name,direct_normal_irradiance,cloud_cover,sunshine_duration,precipitation,surface_pressure,relative_humidity_2m,temperature_2m,wind_speed_10m,shortwave_radiation
2020-01-01 00:00:00,1577833200,Hamel,Hamel,0.0,26,0.0,0.0,1019.7,94,0.2,11.2,0.0
2020-01-01 01:00:00,1577836800,Hamel,Hamel,0.0,43,0.0,0.0,1019.6,94,0.1,13.2,0.0
2020-01-01 02:00:00,1577840400,Hamel,Hamel,0.0,45,0.0,0.0,1018.9,93,0.3,14.7,0.0
2020-01-01 03:00:00,1577844000,Hamel,Hamel,0.0,5,0.0,0.0,1018.6,94,-0.7,8.7,0.0
2020-01-01 04:00:00,1577847600,Hamel,Hamel,0.0,33,0.0,0.0,1018.8,95,-1.7,7.5,0.0
2020-01-01 05:00:00,1577851200,Hamel,Hamel,0.0,52,0.0,0.0,1018.2,94,-1.1,11.7,0.0
2020-01-01 06:00:00,1577854800,Hamel,Hamel,0.0,73,0.0,0.0,1018.0,94,-1.0,13.4,0.0
2020-01-01 07:00:00,1577858400,Hamel,Hamel,0.0,79,0.0,0.0,1017.9,96,-1.0,13.5,0.0
2020-01-01 08:00:00,1577862000,Hamel,Hamel,0.0,82,0.0,0.0,1017.7,96,-1.0,13.4,0.0
2020-01-01 09:00:00,1577865600,Hamel,Hamel,0.0,88,0.0,0.0,1018.1,97,-1.0,13.0,0.0
2020-01-01 10:00:00,1577869200,Hamel,Hamel,0.0,99,0.0,0.0,1018.2,98,-1.0,12.6,0.0
2020-01-01 11:00:00,1577872800,Hamel,Hamel,19.4,100,0.0,0.0,1018.4,98,-0.0,12.6,25.0
2020-01-01 12:00:00,1577876400,Hamel,Hamel,27.8,100,0.0,0.0,1018.7,98,0.6,13.7,65.0
2020-01-01 13:00:00,1577880000,Hamel,Hamel,51.6,100,0.0,0.0,1018.6,96,1.2,14.1,112.0
2020-01-01 14:00:00,1577883600,Hamel,Hamel,34.9,100,0.0,0.0,1018.5,98,1.0,11.3,110.0
2020-01-01 15:00:00,1577887200,Hamel,Hamel,17.8,100,0.0,0.0,1017.9,98,1.1,9.7,71.0
2020-01-01 16:00:00,1577890800,Hamel,Hamel,4.2,100,0.0,0.0,1017.5,99,1.0,10.7,50.0
2020-01-01 17:00:00,1577894400,Hamel,Hamel,6.5,100,0.0,0.0,1017.7,100,0.8,11.9,24.0
2020-01-01 18:00:00,1577898000,Hamel,Hamel,0.0,100,0.0,0.0,1017.9,100,0.6,11.9,6.0
2020-01-01 19:00:00,1577901600,Hamel,Hamel,0.0,100,0.0,0.0,1017.8,100,0.6,13.0,0.0
2020-01-01 20:00:00,1577905200,Hamel,Hamel,0.0,100,0.0,0.0,1017.5,99,0.8,14.2,0.0
2020-01-01 21:00:00,1577908800,Hamel,Hamel,0.0,100,0.0,0.0,1017.1,99,0.8,14.9,0.0
2020-01-01 22:00:00,1577912400,Hamel,Hamel,0.0,100,0.0,0.0,1016.8,100,0.7,14.3,0.0
2020-01-01 23:00:00,1577916000,Hamel,Hamel,0.0,100,0.0,0.0,1016.8,100,0.7,12.2,0.0
2020-01-02 00:00:00,1577919600,Hamel,Hamel,0.0,100,0.0,0.0,1016.4,99,0.7,11.0,0.0
2020-01-02 01:00:00,1577923200,Hamel,Hamel,0.0,100,0.0,0.0,1016.1,100,0.7,11.4,0.0
2020-01-02 02:00:00,1577926800,Hamel,Hamel,0.0,100,0.0,0.0,1016.2,96,1.6,12.7,0.0
2020-01-02 03:00:00,1577930400,Hamel,Hamel,0.0,100,0.0,0.0,1015.4,98,1.4,11.6,0.0
2020-01-02 04:00:00,1577934000,Hamel,Hamel,0.0,100,0.0,0.0,1015.1,98,1.7,12.1,0.0
2020-01-02 05:00:00,1577937600,Hamel,Hamel,0.0,100,0.0,0.0,1014.8,97,2.1,12.2,0.0
2020-01-02 06:00:00,1577941200,Hamel,Hamel,0.0,100,0.0,0.0,1014.5,98,2.4,12.3,0.0
2020-01-02 07:00:00,1577944800,Hamel,Hamel,0.0,100,0.0,0.0,1014.0,98,2.7,13.2,0.0
2020-01-02 08:00:00,1577948400,Hamel,Hamel,0.0,100,0.0,0.0,1013.4,99,3.1,13.1,0.0
2020-01-02 09:00:00,1577952000,Hamel,Hamel,0.0,100,0.0,0.0,1013.2,99,3.6,12.8,0.0
2020-01-02 10:00:00,1577955600,Hamel,Hamel,0.0,100,0.0,0.0,1013.3,99,3.9,12.1,0.0
2020-01-02 11:00:00,1577959200,Hamel,Hamel,9.7,100,0.0,0.0,1013.5,98,4.4,11.9,16.0
2020-01-02 12:00:00,1577962800,Hamel,Hamel,5.5,100,0.0,0.0,1013.3,98,4.8,10.7,30.0
2020-01-02 13:00:00,1577966400,Hamel,Hamel,0.0,100,0.0,0.0,1012.7,97,5.2,12.2,43.0
2020-01-02 14:00:00,1577970000,Hamel,Hamel,41.7,100,0.0,0.0,1012.8,96,4.9,12.7,82.0
2020-01-02 15:00:00,1577973600,Hamel,Hamel,10.6,99,0.0,0.0,1011.5,94,5.6,14.0,67.0
2020-01-02 16:00:00,1577977200,Hamel,Hamel,33.6,100,0.0,0.0,1010.9,95,6.5,16.5,85.0
2020-01-02 17:00:00,1577980800,Hamel,Hamel,63.8,100,113.05,0.0,1010.4,97,6.7,17.5,51.0
2020-01-02 18:00:00,1577984400,Hamel,Hamel,33.6,100,0.0,0.0,1010.3,98,6.5,18.4,12.0
2020-01-02 19:00:00,1577988000,Hamel,Hamel,0.0,100,0.0,0.1,1009.9,98,6.8,19.6,0.0
2020-01-02 20:00:00,1577991600,Hamel,Hamel,0.0,92,0.0,0.0,1009.5,96,7.2,19.7,0.0
2020-01-02 21:00:00,1577995200,Hamel,Hamel,0.0,100,0.0,0.0,1009.0,96,7.2,21.1,0.0
2020-01-02 22:00:00,1577998800,Hamel,Hamel,0.0,100,0.0,0.0,1008.7,95,7.6,22.7,0.0
2020-01-02 23:00:00,1578002400,Hamel,Hamel,0.0,100,0.0,0.0,1008.5,94,7.9,23.0,0.0
2020-01-03 00:00:00,1578006000,Hamel,Hamel,0.0,100,0.0,0.1,1008.3,95,7.9,22.1,0.0
2020-01-03 01:00:00,1578009600,Hamel,Hamel,0.0,100,0.0,0.1,1008.0,94,8.3,23.2,0.0
2020-01-03 02:00:00,1578013200,Hamel,Hamel,0.0,100,0.0,0.1,1008.2,92,8.8,22.9,0.0
2020-01-03 03:00:00,1578016800,Hamel,Hamel,0.0,100,0.0,0.1,1007.5,94,8.5,20.8,0.0
2020-01-03 04:00:00,1578020400,Hamel,Hamel,0.0,100,0.0,0.0,1006.9,94,8.5,22.7,0.0
2020-01-03 05:00:00,1578024000,Hamel,Hamel,0.0,100,0.0,0.0,1006.3,92,8.4,22.7,0.0
2020-01-03 06:00:00,1578027600,Hamel,Hamel,0.0,100,0.0,0.0,1006.0,92,8.3,25.1,0.0
2020-01-03 07:00:00,1578031200,Hamel,Hamel,0.0,100,0.0,0.1,1005.6,93,8.3,24.0,0.0
2020-01-03 08:00:00,1578034800,Hamel,Hamel,0.0,100,0.0,0.3,1005.4,93,8.7,26.3,0.0
2020-01-03 09:00:00,1578038400,Hamel,Hamel,0.0,100,0.0,0.0,1005.8,93,8.9,25.5,0.0
2020-01-03 10:00:00,1578042000,Hamel,Hamel,0.0,58,0.0,0.0,1006.3,92,8.9,22.1,0.0
2020-01-03 11:00:00,1578045600,Hamel,Hamel,96.5,99,584.87,0.1,1006.7,92,8.9,22.0,24.0
2020-01-03 12:00:00,1578049200,Hamel,Hamel,0.0,98,0.0,1.0,1006.8,92,9.1,26.3,25.0
2020-01-03 13:00:00,1578052800,Hamel,Hamel,70.9,100,327.11,1.5,1007.1,92,9.7,24.9,74.0
2020-01-03 14:00:00,1578056400,Hamel,Hamel,45.0,100,0.0,1.9,1007.6,90,9.9,26.9,72.0
2020-01-03 15:00:00,1578060000,Hamel,Hamel,3.5,100,0.0,0.3,1007.8,92,9.6,25.3,46.0
2020-01-03 16:00:00,1578063600,Hamel,Hamel,29.2,100,0.0,0.4,1008.6,93,9.4,23.9,36.0
2020-01-03 17:00:00,1578067200,Hamel,Hamel,0.0,100,0.0,0.4,1009.7,95,9.1,18.0,18.0
2020-01-03 18:00:00,1578070800,Hamel,Hamel,0.0,100,0.0,0.1,1010.8,95,9.0,13.1,4.0
2020-01-03 19:00:00,1578074400,Hamel,Hamel,0.0,100,0.0,0.1,1012.4,94,8.2,18.5,0.0
2020-01-03 20:00:00,1578078000,Hamel,Hamel,0.0,96,0.0,0.0,1013.7,92,7.6,17.4,0.0
2020-01-03 21:00:00,1578081600,Hamel,Hamel,0.0,91,0.0,0.0,1015.1,91,7.1,15.0,0.0
2020-01-03 22:00:00,1578085200,Hamel,Hamel,0.0,96,0.0,0.0,1016.1,92,6.7,13.4,0.0
2020-01-03 23:00:00,1578088800,Hamel,Hamel,0.0,67,0.0,0.0,1017.0,93,6.1,11.8,0.0
2020-01-04 00:00:00,1578092400,Hamel,Hamel,0.0,13,0.0,0.0,1018.1,91,5.1,12.8,0.0
2020-01-04 01:00:00,1578096000,Hamel,Hamel,0.0,1,0.0,0.0,1019.0,91,3.7,12.4,0.0
2020-01-04 02:00:00,1578099600,Hamel,Hamel,0.0,0,0.0,0.0,1019.0,92,3.0,11.8,0.0
2020-01-04 03:00:00,1578103200,Hamel,Hamel,0.0,5,0.0,0.0,1019.3,94,2.7,12.0,0.0
2020-01-04 04:00:00,1578106800,Hamel,Hamel,0.0,83,0.0,0.0,1019.7,94,2.6,11.4,0.0
2020-01-04 05:00:00,1578110400,Hamel,Hamel,0.0,94,0.0,0.0,1020.0,94,2.6,11.7,0.0
2020-01-04 06:00:00,1578114000,Hamel,Hamel,0.0,89,0.0,0.0,1020.2,93,2.9,13.0,0.0
2020-01-04 07:00:00,1578117600,Hamel,Hamel,0.0,85,0.0,0.0,1019.8,92,2.9,12.7,0.0
2020-01-04 08:00:00,1578121200,Hamel,Hamel,0.0,25,0.0,0.0,1019.8,92,3.1,13.8,0.0
2020-01-04 09:00:00,1578124800,Hamel,Hamel,0.0,25,0.0,0.0,1020.3,92,3.2,13.8,0.0
2020-01-04 10:00:00,1578128400,Hamel,Hamel,0.0,78,0.0,0.0,1020.3,92,3.6,15.9,0.0
2020-01-04 11:00:00,1578132000,Hamel,Hamel,230.8,57,1938.39,0.0,1020.6,90,4.9,17.4,45.0
2020-01-04 12:00:00,1578135600,Hamel,Hamel,549.6,20,3600.0,0.0,1020.6,88,6.2,17.5,144.0
2020-01-04 13:00:00,1578139200,Hamel,Hamel,619.4,11,3600.0,0.0,1020.4,87,7.4,18.1,217.0
2020-01-04 14:00:00,1578142800,Hamel,Hamel,609.0,34,3600.0,0.0,1021.1,80,7.9,25.9,245.0
2020-01-04 15:00:00,1578146400,Hamel,Hamel,279.5,70,3600.0,0.0,1021.1,80,7.9,22.1,150.0
2020-01-04 16:00:00,1578150000,Hamel,Hamel,309.7,60,3600.0,0.0,1021.1,79,7.8,17.1,134.0
2020-01-04 17:00:00,1578153600,Hamel,Hamel,247.8,33,3600.0,0.0,1021.2,82,7.1,12.0,86.0
2020-01-04 18:00:00,1578157200,Hamel,Hamel,120.0,27,577.35,0.0,1021.7,89,5.4,8.4,23.0
2020-01-04 19:00:00,1578160800,Hamel,Hamel,0.0,4,0.0,0.0,1021.6,92,4.4,9.5,0.0
2020-01-04 20:00:00,1578164400,Hamel,Hamel,0.0,12,0.0,0.0,1021.9,93,3.7,9.8,0.0
2020-01-04 21:00:00,1578168000,Hamel,Hamel,0.0,36,0.0,0.0,1022.4,92,3.3,9.3,0.0
2020-01-04 22:00:00,1578171600,Hamel,Hamel,0.0,56,0.0,0.0,1022.8,92,3.5,9.4,0.0
2020-01-04 23:00:00,1578175200,Hamel,Hamel,0.0,79,0.0,0.0,1022.9,90,4.1,9.7,0.0
2020-01-05 00:00:00,1578178800,Hamel,Hamel,0.0,98,0.0,0.0,1023.4,91,4.4,8.7,0.0
2020-01-05 01:00:00,1578182400,Hamel,Hamel,0.0,98,0.0,0.0,1023.4,91,4.6,6.7,0.0
2020-01-05 02:00:00,1578186000,Hamel,Hamel,0.0,93,0.0,0.0,1023.4,93,3.6,6.2,0.0
2020-01-05 03:00:00,1578189600,Hamel,Hamel,0.0,46,0.0,0.0,1023.4,94,3.3,5.7,0.0
2020-01-05 04:00:00,1578193200,Hamel,Hamel,0.0,70,0.0,0.0,1023.0,96,2.5,5.7,0.0
2020-01-05 05:00:00,1578196800,Hamel,Hamel,0.0,100,0.0,0.0,1023.1,95,2.9,7.6,0.0
2020-01-05 06:00:00,1578200400,Hamel,Hamel,0.0,100,0.0,0.0,1023.2,93,3.5,7.0,0.0
2020-01-05 07:00:00,1578204000,Hamel,Hamel,0.0,81,0.0,0.0,1022.8,92,3.7,6.4,0.0
2020-01-05 08:00:00,1578207600,Hamel,Hamel,0.0,38,0.0,0.0,1022.7,95,3.3,7.6,0.0
2020-01-05 09:00:00,1578211200,Hamel,Hamel,0.0,26,0.0,0.0,1022.8,96,3.0,8.7,0.0
2020-01-05 10:00:00,1578214800,Hamel,Hamel,0.0,34,0.0,0.0,1022.9,97,2.5,7.7,0.0
2020-01-05 11:00:00,1578218400,Hamel,Hamel,191.6,53,1958.13,0.0,1023.2,96,3.9,10.4,40.0
2020-01-05 12:00:00,1578222000,Hamel,Hamel,295.2,55,3600.0,0.0,1023.3,90,5.6,9.7,103.0
2020-01-05 13:00:00,1578225600,Hamel,Hamel,335.4,47,3600.0,0.0,1023.1,87,6.7,9.7,155.0
2020-01-05 14:00:00,1578229200,Hamel,Hamel,359.2,51,3600.0,0.0,1022.9,85,7.4,9.2,196.0
2020-01-05 15:00:00,1578232800,Hamel,Hamel,385.1,58,3600.0,0.0,1022.2,82,7.9,10.8,202.0
2020-01-05 16:00:00,1578236400,Hamel,Hamel,212.7,96,3600.0,0.0,1022.0,82,7.8,9.1,122.0
2020-01-05 17:00:00,1578240000,Hamel,Hamel,115.9,100,1677.49,0.0,1021.9,85,7.4,6.9,61.0
2020-01-05 18:00:00,1578243600,Hamel,Hamel,10.8,99,0.0,0.0,1022.0,91,6.6,5.1,14.0
2020-01-05 19:00:00,1578247200,Hamel,Hamel,0.0,97,0.0,0.0,1021.3,93,6.3,7.8,0.0
2020-01-05 20:00:00,1578250800,Hamel,Hamel,0.0,95,0.0,0.0,1021.3,95,6.0,9.8,0.0
