datetime,timestamp,station,station_name,direct_normal_irradiance,cloud_cover,sunshine_duration,precipitation,surface_pressure,relative_humidity_2m,temperature_2m,wind_speed_10m,shortwave_radiation
2020-01-01 00:00:00,1577833200,Haulchin,Haulchin,0.0,0,0.0,0.0,1026.7,90,0.9,8.7,0.0
2020-01-01 01:00:00,1577836800,Haulchin,Haulchin,0.0,0,0.0,0.0,1026.4,87,1.1,10.3,0.0
2020-01-01 02:00:00,1577840400,Haulchin,Haulchin,0.0,0,0.0,0.0,1026.6,89,0.5,9.5,0.0
2020-01-01 03:00:00,1577844000,Haulchin,Haulchin,0.0,0,0.0,0.0,1026.0,89,0.9,11.3,0.0
2020-01-01 04:00:00,1577847600,Haulchin,Haulchin,0.0,0,0.0,0.0,1025.5,87,1.2,11.5,0.0
2020-01-01 05:00:00,1577851200,Haulchin,Haulchin,0.0,8,0.0,0.0,1025.0,88,1.2,10.5,0.0
2020-01-01 06:00:00,1577854800,Haulchin,Haulchin,0.0,7,0.0,0.0,1024.4,88,1.0,10.3,0.0
2020-01-01 07:00:00,1577858400,Haulchin,Haulchin,0.0,3,0.0,0.0,1024.2,88,0.9,10.1,0.0
2020-01-01 08:00:00,1577862000,Haulchin,Haulchin,0.0,4,0.0,0.0,1024.4,90,0.3,10.1,0.0
2020-01-01 09:00:00,1577865600,Haulchin,Haulchin,0.0,25,0.0,0.0,1025.0,92,-0.0,11.9,0.0
2020-01-01 10:00:00,1577869200,Haulchin,Haulchin,0.0,53,0.0,0.0,1025.3,94,-0.1,11.6,0.0
2020-01-01 11:00:00,1577872800,Haulchin,Haulchin,173.0,69,1874.35,0.0,1025.5,92,0.8,11.7,41.0
2020-01-01 12:00:00,1577876400,Haulchin,Haulchin,232.8,100,3600.0,0.0,1025.6,90,1.7,11.9,108.0
2020-01-01 13:00:00,1577880000,Haulchin,Haulchin,227.8,100,3600.0,0.0,1025.2,89,2.6,12.6,139.0
2020-01-01 14:00:00,1577883600,Haulchin,Haulchin,191.2,100,3600.0,0.0,1025.6,95,1.6,12.0,142.0
2020-01-01 15:00:00,1577887200,Haulchin,Haulchin,0.0,100,0.0,0.0,1025.0,95,1.7,12.4,86.0
2020-01-01 16:00:00,1577890800,Haulchin,Haulchin,0.0,100,0.0,0.0,1024.5,95,1.8,12.2,56.0
2020-01-01 17:00:00,1577894400,Haulchin,Haulchin,0.0,100,0.0,0.0,1024.6,94,1.9,13.0,33.0
2020-01-01 18:00:00,1577898000,Haulchin,Haulchin,0.0,100,0.0,0.0,1024.9,95,1.8,11.6,5.0
2020-01-01 19:00:00,1577901600,Haulchin,Haulchin,0.0,100,0.0,0.0,1024.6,94,1.9,12.6,0.0
2020-01-01 20:00:00,1577905200,Haulchin,Haulchin,0.0,99,0.0,0.0,1024.4,94,2.0,12.8,0.0
2020-01-01 21:00:00,1577908800,Haulchin,Haulchin,0.0,100,0.0,0.0,1023.9,94,2.2,12.1,0.0
2020-01-01 22:00:00,1577912400,Haulchin,Haulchin,0.0,100,0.0,0.0,1023.7,94,2.4,12.3,0.0
2020-01-01 23:00:00,1577916000,Haulchin,Haulchin,0.0,100,0.0,0.0,1023.7,94,2.5,12.7,0.0
2020-01-02 00:00:00,1577919600,Haulchin,Haulchin,0.0,100,0.0,0.0,1023.4,93,2.7,12.0,0.0
2020-01-02 01:00:00,1577923200,Haulchin,Haulchin,0.0,100,0.0,0.0,1023.1,93,2.9,11.7,0.0
2020-01-02 02:00:00,1577926800,Haulchin,Haulchin,0.0,100,0.0,0.0,1023.0,90,2.4,12.4,0.0
2020-01-02 03:00:00,1577930400,Haulchin,Haulchin,0.0,96,0.0,0.0,1022.3,91,2.5,12.6,0.0
2020-01-02 04:00:00,1577934000,Haulchin,Haulchin,0.0,90,0.0,0.0,1021.9,91,2.7,13.3,0.0
2020-01-02 05:00:00,1577937600,Haulchin,Haulchin,0.0,93,0.0,0.0,1021.6,92,2.9,14.4,0.0
2020-01-02 06:00:00,1577941200,Haulchin,Haulchin,0.0,99,0.0,0.0,1021.2,92,3.4,14.0,0.0
2020-01-02 07:00:00,1577944800,Haulchin,Haulchin,0.0,99,0.0,0.0,1020.8,92,3.7,13.7,0.0
2020-01-02 08:00:00,1577948400,Haulchin,Haulchin,0.0,100,0.0,0.0,1020.2,93,4.0,13.8,0.0
2020-01-02 09:00:00,1577952000,Haulchin,Haulchin,0.0,98,0.0,0.0,1020.2,93,4.4,13.8,0.0
2020-01-02 10:00:00,1577955600,Haulchin,Haulchin,0.0,92,0.0,0.0,1020.2,93,4.5,15.2,0.0
2020-01-02 11:00:00,1577959200,Haulchin,Haulchin,19.2,100,0.0,0.0,1020.1,93,4.8,16.3,22.0
2020-01-02 12:00:00,1577962800,Haulchin,Haulchin,44.2,100,0.0,0.0,1020.0,89,5.8,16.6,67.0
2020-01-02 13:00:00,1577966400,Haulchin,Haulchin,8.0,100,0.0,0.0,1019.3,88,6.3,19.8,65.0
2020-01-02 14:00:00,1577970000,Haulchin,Haulchin,3.5,100,0.0,0.0,1019.2,89,5.5,16.2,65.0
2020-01-02 15:00:00,1577973600,Haulchin,Haulchin,7.2,100,0.0,0.0,1018.2,91,5.5,16.2,61.0
2020-01-02 16:00:00,1577977200,Haulchin,Haulchin,0.0,87,0.0,0.0,1017.7,92,5.7,17.0,42.0
2020-01-02 17:00:00,1577980800,Haulchin,Haulchin,108.4,70,1451.99,0.0,1017.0,92,6.0,16.9,52.0
2020-01-02 18:00:00,1577984400,Haulchin,Haulchin,47.5,97,0.0,0.0,1016.8,94,6.0,18.1,14.0
2020-01-02 19:00:00,1577988000,Haulchin,Haulchin,0.0,97,0.0,0.0,1016.6,95,6.4,19.4,0.0
2020-01-02 20:00:00,1577991600,Haulchin,Haulchin,0.0,97,0.0,0.0,1015.9,93,7.1,21.4,0.0
2020-01-02 21:00:00,1577995200,Haulchin,Haulchin,0.0,99,0.0,0.0,1015.7,93,7.5,21.7,0.0
2020-01-02 22:00:00,1577998800,Haulchin,Haulchin,0.0,100,0.0,0.0,1015.3,94,7.4,20.9,0.0
2020-01-02 23:00:00,1578002400,Haulchin,Haulchin,0.0,100,0.0,0.0,1015.0,92,8.0,23.8,0.0
2020-01-03 00:00:00,1578006000,Haulchin,Haulchin,0.0,100,0.0,0.0,1014.8,90,8.3,23.0,0.0
2020-01-03 01:00:00,1578009600,Haulchin,Haulchin,0.0,100,0.0,0.1,1014.6,92,8.3,24.3,0.0
2020-01-03 02:00:00,1578013200,Haulchin,Haulchin,0.0,100,0.0,0.1,1014.6,90,8.4,24.2,0.0
2020-01-03 03:00:00,1578016800,Haulchin,Haulchin,0.0,100,0.0,0.0,1013.8,91,8.9,21.6,0.0
2020-01-03 04:00:00,1578020400,Haulchin,Haulchin,0.0,100,0.0,0.2,1013.2,93,8.8,22.5,0.0
2020-01-03 05:00:00,1578024000,Haulchin,Haulchin,0.0,100,0.0,0.1,1012.7,91,8.9,25.0,0.0
2020-01-03 06:00:00,1578027600,Haulchin,Haulchin,0.0,99,0.0,0.0,1012.3,89,8.8,24.8,0.0
2020-01-03 07:00:00,1578031200,Haulchin,Haulchin,0.0,100,0.0,0.0,1011.8,90,8.5,26.0,0.0
2020-01-03 08:00:00,1578034800,Haulchin,Haulchin,0.0,100,0.0,0.1,1011.5,89,8.6,27.1,0.0
2020-01-03 09:00:00,1578038400,Haulchin,Haulchin,0.0,100,0.0,0.4,1011.7,91,8.7,27.6,0.0
2020-01-03 10:00:00,1578042000,Haulchin,Haulchin,0.0,100,0.0,0.0,1012.1,91,9.2,25.8,0.0
2020-01-03 11:00:00,1578045600,Haulchin,Haulchin,19.1,93,0.0,0.0,1012.4,90,9.5,24.5,16.0
2020-01-03 12:00:00,1578049200,Haulchin,Haulchin,49.5,97,0.0,0.3,1012.6,89,9.8,24.2,48.0
2020-01-03 13:00:00,1578052800,Haulchin,Haulchin,15.9,100,0.0,0.7,1012.6,92,9.4,27.2,34.0
2020-01-03 14:00:00,1578056400,Haulchin,Haulchin,0.0,100,0.0,0.2,1012.8,92,9.8,26.6,52.0
2020-01-03 15:00:00,1578060000,Haulchin,Haulchin,7.2,100,0.0,0.4,1013.1,91,9.9,27.1,22.0
2020-01-03 16:00:00,1578063600,Haulchin,Haulchin,4.3,100,0.0,0.3,1013.9,89,10.1,25.6,52.0
2020-01-03 17:00:00,1578067200,Haulchin,Haulchin,0.0,100,0.0,0.3,1015.0,94,9.5,19.2,22.0
2020-01-03 18:00:00,1578070800,Haulchin,Haulchin,0.0,100,0.0,0.1,1016.2,94,9.3,17.2,5.0
2020-01-03 19:00:00,1578074400,Haulchin,Haulchin,0.0,100,0.0,0.1,1018.0,94,8.1,16.6,0.0
2020-01-03 20:00:00,1578078000,Haulchin,Haulchin,0.0,99,0.0,0.0,1019.3,92,7.7,15.1,0.0
2020-01-03 21:00:00,1578081600,Haulchin,Haulchin,0.0,92,0.0,0.0,1020.7,91,7.3,14.6,0.0
2020-01-03 22:00:00,1578085200,Haulchin,Haulchin,0.0,91,0.0,0.0,1021.8,89,6.8,11.7,0.0
2020-01-03 23:00:00,1578088800,Haulchin,Haulchin,0.0,96,0.0,0.0,1022.8,90,6.5,10.8,0.0
2020-01-04 00:00:00,1578092400,Haulchin,Haulchin,0.0,58,0.0,0.0,1023.8,91,6.4,12.2,0.0
2020-01-04 01:00:00,1578096000,Haulchin,Haulchin,0.0,15,0.0,0.0,1024.5,90,5.4,12.0,0.0
