datetime,timestamp,station,station_name,direct_normal_irradiance,cloud_cover,sunshine_duration,precipitation,surface_pressure,relative_humidity_2m,temperature_2m,wind_speed_10m,shortwave_radiation
2020-01-01 00:00:00,1577833200,Jeumont,Jeumont,0.0,0,0.0,0.0,1016.2,92,1.4,10.4,0.0
2020-01-01 01:00:00,1577836800,Jeumont,Jeumont,0.0,0,0.0,0.0,1015.9,92,1.6,11.4,0.0
2020-01-01 02:00:00,1577840400,Jeumont,Jeumont,0.0,0,0.0,0.0,1016.2,92,1.0,9.4,0.0
2020-01-01 03:00:00,1577844000,Jeumont,Jeumont,0.0,0,0.0,0.0,1015.6,91,1.6,13.0,0.0
2020-01-01 04:00:00,1577847600,Jeumont,Jeumont,0.0,0,0.0,0.0,1015.0,88,1.8,15.5,0.0
2020-01-01 05:00:00,1577851200,Jeumont,Jeumont,0.0,0,0.0,0.0,1014.7,88,1.7,15.1,0.0
2020-01-01 06:00:00,1577854800,Jeumont,Jeumont,0.0,1,0.0,0.0,1014.1,88,1.6,16.1,0.0
2020-01-01 07:00:00,1577858400,Jeumont,Jeumont,0.0,1,0.0,0.0,1013.5,88,1.5,16.3,0.0
2020-01-01 08:00:00,1577862000,Jeumont,Jeumont,0.0,1,0.0,0.0,1013.5,89,1.2,13.1,0.0
2020-01-01 09:00:00,1577865600,Jeumont,Jeumont,0.0,1,0.0,0.0,1014.4,90,0.4,10.1,0.0
2020-01-01 10:00:00,1577869200,Jeumont,Jeumont,0.0,2,0.0,0.0,1015.0,91,-0.2,11.5,1.0
2020-01-01 11:00:00,1577872800,Jeumont,Jeumont,310.6,10,2129.32,0.0,1015.1,90,0.6,14.4,55.0
2020-01-01 12:00:00,1577876400,Jeumont,Jeumont,559.4,7,3600.0,0.0,1015.1,86,2.1,14.9,146.0
2020-01-01 13:00:00,1577880000,Jeumont,Jeumont,711.8,15,3600.0,0.0,1014.7,81,3.7,14.5,231.0
2020-01-01 14:00:00,1577883600,Jeumont,Jeumont,676.2,36,3600.0,0.0,1014.9,90,2.8,13.1,255.0
2020-01-01 15:00:00,1577887200,Jeumont,Jeumont,159.9,100,2996.48,0.0,1014.6,90,2.6,13.4,142.0
2020-01-01 16:00:00,1577890800,Jeumont,Jeumont,35.2,100,0.0,0.0,1014.2,91,2.2,13.3,91.0
2020-01-01 17:00:00,1577894400,Jeumont,Jeumont,7.0,100,0.0,0.0,1014.1,93,1.9,14.4,42.0
2020-01-01 18:00:00,1577898000,Jeumont,Jeumont,0.0,100,0.0,0.0,1014.5,95,1.5,14.1,6.0
2020-01-01 19:00:00,1577901600,Jeumont,Jeumont,0.0,100,0.0,0.0,1014.4,96,1.4,14.4,0.0
2020-01-01 20:00:00,1577905200,Jeumont,Jeumont,0.0,100,0.0,0.0,1014.1,97,1.5,14.0,0.0
2020-01-01 21:00:00,1577908800,Jeumont,Jeumont,0.0,100,0.0,0.0,1013.8,97,1.6,13.5,0.0
2020-01-01 22:00:00,1577912400,Jeumont,Jeumont,0.0,100,0.0,0.0,1013.4,96,1.9,13.7,0.0
2020-01-01 23:00:00,1577916000,Jeumont,Jeumont,0.0,100,0.0,0.0,1013.4,95,2.2,13.3,0.0
2020-01-02 00:00:00,1577919600,Jeumont,Jeumont,0.0,100,0.0,0.0,1013.1,95,2.3,12.6,0.0
2020-01-02 01:00:00,1577923200,Jeumont,Jeumont,0.0,100,0.0,0.0,1012.8,96,2.3,13.1,0.0
2020-01-02 02:00:00,1577926800,Jeumont,Jeumont,0.0,100,0.0,0.0,1012.9,92,2.0,13.4,0.0
2020-01-02 03:00:00,1577930400,Jeumont,Jeumont,0.0,93,0.0,0.0,1012.1,94,1.9,12.9,0.0
2020-01-02 04:00:00,1577934000,Jeumont,Jeumont,0.0,86,0.0,0.0,1011.7,94,2.3,13.3,0.0
2020-01-02 05:00:00,1577937600,Jeumont,Jeumont,0.0,95,0.0,0.0,1011.4,95,2.4,15.0,0.0
2020-01-02 06:00:00,1577941200,Jeumont,Jeumont,0.0,98,0.0,0.0,1011.1,93,2.9,14.8,0.0
2020-01-02 07:00:00,1577944800,Jeumont,Jeumont,0.0,99,0.0,0.0,1010.7,94,3.3,15.0,0.0
2020-01-02 08:00:00,1577948400,Jeumont,Jeumont,0.0,99,0.0,0.0,1010.1,95,3.6,16.3,0.0
2020-01-02 09:00:00,1577952000,Jeumont,Jeumont,0.0,87,0.0,0.0,1010.0,95,4.0,17.7,0.0
2020-01-02 10:00:00,1577955600,Jeumont,Jeumont,0.0,92,0.0,0.0,1010.0,96,3.7,18.9,1.0
2020-01-02 11:00:00,1577959200,Jeumont,Jeumont,46.9,100,0.0,0.0,1009.9,94,4.3,18.2,33.0
2020-01-02 12:00:00,1577962800,Jeumont,Jeumont,205.6,100,3600.0,0.0,1010.0,89,5.6,20.9,103.0
2020-01-02 13:00:00,1577966400,Jeumont,Jeumont,43.3,100,0.0,0.0,1009.4,89,5.7,20.5,89.0
2020-01-02 14:00:00,1577970000,Jeumont,Jeumont,0.0,100,0.0,0.0,1009.2,91,5.1,16.9,68.0
2020-01-02 15:00:00,1577973600,Jeumont,Jeumont,3.6,100,0.0,0.0,1008.1,93,4.9,17.0,67.0
2020-01-02 16:00:00,1577977200,Jeumont,Jeumont,0.0,100,0.0,0.0,1007.7,93,5.1,19.1,45.0
2020-01-02 17:00:00,1577980800,Jeumont,Jeumont,0.0,99,0.0,0.0,1007.4,95,5.3,16.9,20.0
2020-01-02 18:00:00,1577984400,Jeumont,Jeumont,24.1,87,0.0,0.0,1007.0,96,5.4,17.6,9.0
2020-01-02 19:00:00,1577988000,Jeumont,Jeumont,0.0,100,0.0,0.0,1006.9,97,5.6,18.4,0.0
2020-01-02 20:00:00,1577991600,Jeumont,Jeumont,0.0,98,0.0,0.0,1006.3,96,6.2,20.1,0.0
2020-01-02 21:00:00,1577995200,Jeumont,Jeumont,0.0,100,0.0,0.0,1005.9,96,6.5,20.6,0.0
2020-01-02 22:00:00,1577998800,Jeumont,Jeumont,0.0,98,0.0,0.0,1005.7,95,7.0,21.7,0.0
2020-01-02 23:00:00,1578002400,Jeumont,Jeumont,0.0,100,0.0,0.0,1005.1,95,7.1,23.2,0.0
2020-01-03 00:00:00,1578006000,Jeumont,Jeumont,0.0,100,0.0,0.0,1005.0,94,7.4,23.3,0.0
2020-01-03 01:00:00,1578009600,Jeumont,Jeumont,0.0,100,0.0,0.1,1004.9,94,7.5,24.9,0.0
2020-01-03 02:00:00,1578013200,Jeumont,Jeumont,0.0,100,0.0,0.1,1004.9,94,7.4,22.2,0.0
2020-01-03 03:00:00,1578016800,Jeumont,Jeumont,0.0,100,0.0,0.0,1004.0,94,8.1,22.0,0.0
2020-01-03 04:00:00,1578020400,Jeumont,Jeumont,0.0,100,0.0,0.1,1003.2,93,8.4,26.3,0.0
2020-01-03 05:00:00,1578024000,Jeumont,Jeumont,0.0,100,0.0,0.1,1002.9,92,8.3,27.3,0.0
2020-01-03 06:00:00,1578027600,Jeumont,Jeumont,0.0,100,0.0,0.0,1002.7,92,8.1,25.0,0.0
2020-01-03 07:00:00,1578031200,Jeumont,Jeumont,0.0,100,0.0,0.0,1002.1,93,7.6,26.0,0.0
2020-01-03 08:00:00,1578034800,Jeumont,Jeumont,0.0,100,0.0,0.0,1002.0,93,7.6,26.9,0.0
2020-01-03 09:00:00,1578038400,Jeumont,Jeumont,0.0,100,0.0,0.4,1002.1,93,7.8,27.7,0.0
2020-01-03 10:00:00,1578042000,Jeumont,Jeumont,0.0,100,0.0,0.3,1002.4,94,7.9,25.7,0.0
2020-01-03 11:00:00,1578045600,Jeumont,Jeumont,0.0,100,0.0,0.0,1002.6,94,8.4,25.5,7.0
2020-01-03 12:00:00,1578049200,Jeumont,Jeumont,0.0,100,0.0,0.0,1002.8,93,9.0,25.5,35.0
2020-01-03 13:00:00,1578052800,Jeumont,Jeumont,3.9,97,0.0,0.5,1002.8,93,9.1,26.5,46.0
2020-01-03 14:00:00,1578056400,Jeumont,Jeumont,62.8,100,83.06,0.6,1002.9,93,9.4,29.2,68.0
2020-01-03 15:00:00,1578060000,Jeumont,Jeumont,0.0,97,0.0,0.2,1003.1,92,9.3,27.6,18.0
2020-01-03 16:00:00,1578063600,Jeumont,Jeumont,13.0,100,0.0,0.5,1003.6,92,9.3,27.1,36.0
2020-01-03 17:00:00,1578067200,Jeumont,Jeumont,0.0,100,0.0,0.4,1004.6,95,8.9,22.7,19.0
2020-01-03 18:00:00,1578070800,Jeumont,Jeumont,0.0,100,0.0,0.2,1005.6,97,8.8,18.0,6.0
2020-01-03 19:00:00,1578074400,Jeumont,Jeumont,0.0,100,0.0,0.3,1007.0,97,8.4,20.1,0.0
2020-01-03 20:00:00,1578078000,Jeumont,Jeumont,0.0,100,0.0,0.2,1008.6,95,7.3,18.4,0.0
2020-01-03 21:00:00,1578081600,Jeumont,Jeumont,0.0,100,0.0,0.1,1009.9,94,6.9,14.9,0.0
2020-01-03 22:00:00,1578085200,Jeumont,Jeumont,0.0,79,0.0,0.2,1011.1,91,6.6,15.2,0.0
2020-01-03 23:00:00,1578088800,Jeumont,Jeumont,0.0,89,0.0,0.0,1012.0,92,5.9,11.8,0.0
2020-01-04 00:00:00,1578092400,Jeumont,Jeumont,0.0,95,0.0,0.0,1013.0,93,5.7,12.5,0.0
2020-01-04 01:00:00,1578096000,Jeumont,Jeumont,0.0,31,0.0,0.0,1013.8,94,5.3,12.9,0.0
2020-01-04 02:00:00,1578099600,Jeumont,Jeumont,0.0,24,0.0,0.0,1014.3,94,4.0,10.7,0.0
2020-01-04 03:00:00,1578103200,Jeumont,Jeumont,0.0,48,0.0,0.0,1014.3,94,3.4,11.9,0.0
2020-01-04 04:00:00,1578106800,Jeumont,Jeumont,0.0,76,0.0,0.0,1014.9,95,3.1,12.6,0.0
2020-01-04 05:00:00,1578110400,Jeumont,Jeumont,0.0,93,0.0,0.0,1015.2,95,2.4,13.0,0.0
2020-01-04 06:00:00,1578114000,Jeumont,Jeumont,0.0,90,0.0,0.0,1015.4,95,2.3,13.3,0.0
2020-01-04 07:00:00,1578117600,Jeumont,Jeumont,0.0,86,0.0,0.0,1015.1,95,2.2,13.8,0.0
2020-01-04 08:00:00,1578121200,Jeumont,Jeumont,0.0,71,0.0,0.0,1015.1,94,2.1,13.8,0.0
2020-01-04 09:00:00,1578124800,Jeumont,Jeumont,0.0,1,0.0,0.0,1015.5,94,2.1,13.8,0.0
2020-01-04 10:00:00,1578128400,Jeumont,Jeumont,0.0,17,0.0,0.0,1015.7,94,2.2,13.8,1.0
2020-01-04 11:00:00,1578132000,Jeumont,Jeumont,279.8,54,2169.69,0.0,1016.2,92,3.3,15.2,53.0
2020-01-04 12:00:00,1578135600,Jeumont,Jeumont,547.0,2,3600.0,0.0,1015.8,91,4.6,16.0,147.0
2020-01-04 13:00:00,1578139200,Jeumont,Jeumont,651.7,3,3600.0,0.0,1015.6,89,5.6,16.6,221.0
2020-01-04 14:00:00,1578142800,Jeumont,Jeumont,641.6,59,3600.0,0.0,1016.3,85,6.3,19.7,250.0
2020-01-04 15:00:00,1578146400,Jeumont,Jeumont,431.3,80,3600.0,0.0,1016.2,82,6.9,20.3,211.0
2020-01-04 16:00:00,1578150000,Jeumont,Jeumont,192.8,69,3600.0,0.0,1016.3,81,7.0,18.9,116.0
2020-01-04 17:00:00,1578153600,Jeumont,Jeumont,246.5,80,3600.0,0.0,1016.5,84,6.4,13.2,74.0
2020-01-04 18:00:00,1578157200,Jeumont,Jeumont,70.3,36,66.31,0.0,1016.7,90,5.4,12.0,16.0
2020-01-04 19:00:00,1578160800,Jeumont,Jeumont,0.0,98,0.0,0.0,1016.8,93,4.7,11.9,0.0
2020-01-04 20:00:00,1578164400,Jeumont,Jeumont,0.0,96,0.0,0.0,1017.5,92,4.8,11.9,0.0
2020-01-04 21:00:00,1578168000,Jeumont,Jeumont,0.0,100,0.0,0.0,1017.8,92,4.6,12.3,0.0
2020-01-04 22:00:00,1578171600,Jeumont,Jeumont,0.0,100,0.0,0.0,1018.3,91,4.8,11.9,0.0
2020-01-04 23:00:00,1578175200,Jeumont,Jeumont,0.0,100,0.0,0.0,1018.5,90,4.9,11.9,0.0
2020-01-05 00:00:00,1578178800,Jeumont,Jeumont,0.0,91,0.0,0.0,1018.9,91,4.9,11.6,0.0
2020-01-05 01:00:00,1578182400,Jeumont,Jeumont,0.0,95,0.0,0.0,1019.1,91,4.8,10.5,0.0
2020-01-05 02:00:00,1578186000,Jeumont,Jeumont,0.0,91,0.0,0.0,1019.1,92,4.0,9.0,0.0
2020-01-05 03:00:00,1578189600,Jeumont,Jeumont,0.0,47,0.0,0.0,1019.2,92,4.1,8.9,0.0
2020-01-05 04:00:00,1578193200,Jeumont,Jeumont,0.0,31,0.0,0.0,1019.0,94,3.4,7.9,0.0
2020-01-05 05:00:00,1578196800,Jeumont,Jeumont,0.0,15,0.0,0.0,1018.8,95,2.6,6.9,0.0
2020-01-05 06:00:00,1578200400,Jeumont,Jeumont,0.0,7,0.0,0.0,1019.0,95,2.2,7.2,0.0
2020-01-05 07:00:00,1578204000,Jeumont,Jeumont,0.0,4,0.0,0.0,1018.7,96,1.9,7.9,0.0
2020-01-05 08:00:00,1578207600,Jeumont,Jeumont,0.0,7,0.0,0.0,1018.5,95,1.8,8.7,0.0
2020-01-05 09:00:00,1578211200,Jeumont,Jeumont,0.0,24,0.0,0.0,1018.7,95,2.0,10.0,0.0
2020-01-05 10:00:00,1578214800,Jeumont,Jeumont,0.0,59,0.0,0.0,1018.9,94,2.4,11.0,1.0
2020-01-05 11:00:00,1578218400,Jeumont,Jeumont,148.6,65,1617.38,0.0,1019.1,90,3.8,12.6,41.0
2020-01-05 12:00:00,1578222000,Jeumont,Jeumont,277.3,63,3600.0,0.0,1019.2,87,5.0,12.1,107.0
2020-01-05 13:00:00,1578225600,Jeumont,Jeumont,256.2,55,3600.0,0.0,1019.1,86,5.9,11.5,150.0
2020-01-05 14:00:00,1578229200,Jeumont,Jeumont,379.2,63,3600.0,0.0,1019.0,83,6.6,10.7,199.0
2020-01-05 15:00:00,1578232800,Jeumont,Jeumont,247.7,54,3600.0,0.0,1018.3,83,6.9,10.2,169.0
2020-01-05 16:00:00,1578236400,Jeumont,Jeumont,280.0,85,3600.0,0.0,1018.0,82,7.0,12.4,142.0
2020-01-05 17:00:00,1578240000,Jeumont,Jeumont,137.6,73,2328.56,0.0,1018.1,85,6.7,8.9,67.0
2020-01-05 18:00:00,1578243600,Jeumont,Jeumont,46.2,56,0.0,0.0,1018.1,91,5.6,8.2,13.0
2020-01-05 19:00:00,1578247200,Jeumont,Jeumont,0.0,56,0.0,0.0,1017.6,94,4.9,10.4,0.0
2020-01-05 20:00:00,1578250800,Jeumont,Jeumont,0.0,58,0.0,0.0,1017.5,94,4.4,11.2,0.0
2020-01-05 21:00:00,1578254400,Jeumont,Jeumont,0.0,78,0.0,0.0,1017.1,93,4.1,13.2,0.0
2020-01-05 22:00:00,1578258000,Jeumont,Jeumont,0.0,94,0.0,0.0,1016.9,91,4.3,14.7,0.0
2020-01-05 23:00:00,1578261600,Jeumont,Jeumont,0.0,98,0.0,0.0,1016.3,90,4.4,15.1,0.0
2020-01-06 00:00:00,1578265200,Jeumont,Jeumont,0.0,97,0.0,0.0,1016.1,90,4.4,15.1,0.0
2020-01-06 01:00:00,1578268800,Jeumont,Jeumont,0.0,94,0.0,0.0,1015.9,89,4.4,14.7,0.0
2020-01-06 02:00:00,1578272400,Jeumont,Jeumont,0.0,83,0.0,0.0,1015.4,90,3.9,13.2,0.0
