datetime,timestamp,station,station_name,direct_normal_irradiance,cloud_cover,sunshine_duration,precipitation,surface_pressure,relative_humidity_2m,temperature_2m,wind_speed_10m,shortwave_radiation
2020-01-01 00:00:00,1577833200,Lourches,Lourches,0.0,0,0.0,0.0,1028.7,90,-0.0,7.9,0.0
2020-01-01 01:00:00,1577836800,Lourches,Lourches,0.0,1,0.0,0.0,1028.4,89,0.2,9.2,0.0
2020-01-01 02:00:00,1577840400,Lourches,Lourches,0.0,3,0.0,0.0,1028.3,89,-0.1,7.3,0.0
2020-01-01 03:00:00,1577844000,Lourches,Lourches,0.0,0,0.0,0.0,1028.0,89,-0.0,9.0,0.0
2020-01-01 04:00:00,1577847600,Lourches,Lourches,0.0,24,0.0,0.0,1027.7,89,-0.3,8.4,0.0
2020-01-01 05:00:00,1577851200,Lourches,Lourches,0.0,36,0.0,0.0,1027.1,90,0.2,11.3,0.0
2020-01-01 06:00:00,1577854800,Lourches,Lourches,0.0,47,0.0,0.0,1026.5,90,0.5,11.4,0.0
2020-01-01 07:00:00,1577858400,Lourches,Lourches,0.0,43,0.0,0.0,1026.6,92,0.3,10.9,0.0
2020-01-01 08:00:00,1577862000,Lourches,Lourches,0.0,65,0.0,0.0,1026.5,94,0.1,13.7,0.0
2020-01-01 09:00:00,1577865600,Lourches,Lourches,0.0,77,0.0,0.0,1026.9,95,-0.1,13.8,0.0
2020-01-01 10:00:00,1577869200,Lourches,Lourches,0.0,88,0.0,0.0,1027.2,96,-0.0,12.0,0.0
2020-01-01 11:00:00,1577872800,Lourches,Lourches,67.7,100,124.58,0.0,1027.4,94,0.8,12.8,33.0
2020-01-01 12:00:00,1577876400,Lourches,Lourches,50.1,100,0.0,0.0,1027.4,93,1.6,12.8,83.0
2020-01-01 13:00:00,1577880000,Lourches,Lourches,12.0,100,0.0,0.0,1027.3,93,2.1,14.0,102.0
2020-01-01 14:00:00,1577883600,Lourches,Lourches,0.0,100,0.0,0.0,1027.5,97,1.5,12.6,94.0
2020-01-01 15:00:00,1577887200,Lourches,Lourches,14.5,100,0.0,0.0,1026.9,95,1.8,13.0,86.0
2020-01-01 16:00:00,1577890800,Lourches,Lourches,8.7,100,0.0,0.0,1026.4,94,2.0,12.3,61.0
2020-01-01 17:00:00,1577894400,Lourches,Lourches,0.0,100,0.0,0.0,1026.5,94,2.1,11.7,33.0
2020-01-01 18:00:00,1577898000,Lourches,Lourches,0.0,100,0.0,0.0,1026.6,94,1.9,11.2,6.0
2020-01-01 19:00:00,1577901600,Lourches,Lourches,0.0,100,0.0,0.0,1026.5,95,1.9,12.3,0.0
2020-01-01 20:00:00,1577905200,Lourches,Lourches,0.0,100,0.0,0.0,1026.3,95,2.0,13.2,0.0
2020-01-01 21:00:00,1577908800,Lourches,Lourches,0.0,100,0.0,0.0,1025.9,94,2.2,13.8,0.0
2020-01-01 22:00:00,1577912400,Lourches,Lourches,0.0,100,0.0,0.0,1025.6,94,2.2,14.5,0.0
2020-01-01 23:00:00,1577916000,Lourches,Lourches,0.0,100,0.0,0.0,1025.6,94,2.4,13.7,0.0
2020-01-02 00:00:00,1577919600,Lourches,Lourches,0.0,100,0.0,0.0,1025.3,93,2.5,12.0,0.0
2020-01-02 01:00:00,1577923200,Lourches,Lourches,0.0,100,0.0,0.0,1024.9,93,2.7,11.5,0.0
2020-01-02 02:00:00,1577926800,Lourches,Lourches,0.0,100,0.0,0.0,1024.9,90,2.4,12.4,0.0
2020-01-02 03:00:00,1577930400,Lourches,Lourches,0.0,93,0.0,0.0,1024.2,91,2.4,12.4,0.0
2020-01-02 04:00:00,1577934000,Lourches,Lourches,0.0,95,0.0,0.0,1023.8,92,2.5,13.2,0.0
2020-01-02 05:00:00,1577937600,Lourches,Lourches,0.0,100,0.0,0.0,1023.5,92,2.8,13.6,0.0
2020-01-02 06:00:00,1577941200,Lourches,Lourches,0.0,100,0.0,0.0,1023.1,92,3.2,13.2,0.0
2020-01-02 07:00:00,1577944800,Lourches,Lourches,0.0,100,0.0,0.0,1022.6,93,3.4,13.3,0.0
2020-01-02 08:00:00,1577948400,Lourches,Lourches,0.0,100,0.0,0.0,1022.2,94,3.7,13.1,0.0
2020-01-02 09:00:00,1577952000,Lourches,Lourches,0.0,100,0.0,0.0,1022.1,94,4.0,12.8,0.0
2020-01-02 10:00:00,1577955600,Lourches,Lourches,0.0,100,0.0,0.0,1022.1,94,4.4,13.8,0.0
2020-01-02 11:00:00,1577959200,Lourches,Lourches,9.6,100,0.0,0.0,1022.0,93,4.8,14.6,20.0
2020-01-02 12:00:00,1577962800,Lourches,Lourches,0.0,100,0.0,0.0,1021.9,90,5.7,16.2,47.0
2020-01-02 13:00:00,1577966400,Lourches,Lourches,23.9,100,0.0,0.0,1021.2,89,6.3,17.6,59.0
2020-01-02 14:00:00,1577970000,Lourches,Lourches,0.0,100,0.0,0.0,1021.2,90,5.4,16.3,53.0
2020-01-02 15:00:00,1577973600,Lourches,Lourches,3.6,100,0.0,0.0,1020.2,91,5.7,18.3,53.0
2020-01-02 16:00:00,1577977200,Lourches,Lourches,30.1,68,0.0,0.0,1019.3,91,6.2,15.5,63.0
