datetime,timestamp,station,station_name,direct_normal_irradiance,cloud_cover,sunshine_duration,precipitation,surface_pressure,relative_humidity_2m,temperature_2m,wind_speed_10m,shortwave_radiation
2020-01-01 00:00:00,1577833200,Oxelaëre,Oxelaëre,0.0,2,0.0,0.0,1028.2,97,2.3,11.9,0.0
2020-01-01 01:00:00,1577836800,Oxelaëre,Oxelaëre,0.0,11,0.0,0.0,1028.0,96,1.5,11.5,0.0
2020-01-01 02:00:00,1577840400,Oxelaëre,Oxelaëre,0.0,15,0.0,0.0,1027.8,95,0.7,11.8,0.0
2020-01-01 03:00:00,1577844000,Oxelaëre,Oxelaëre,0.0,17,0.0,0.0,1027.6,94,0.5,12.0,0.0
2020-01-01 04:00:00,1577847600,Oxelaëre,Oxelaëre,0.0,23,0.0,0.0,1027.3,93,0.2,12.7,0.0
2020-01-01 05:00:00,1577851200,Oxelaëre,Oxelaëre,0.0,27,0.0,0.0,1026.6,93,-0.1,12.7,0.0
2020-01-01 06:00:00,1577854800,Oxelaëre,Oxelaëre,0.0,39,0.0,0.0,1026.3,93,-0.4,11.9,0.0
2020-01-01 07:00:00,1577858400,Oxelaëre,Oxelaëre,0.0,70,0.0,0.0,1026.3,93,-0.7,10.2,0.0
2020-01-01 08:00:00,1577862000,Oxelaëre,Oxelaëre,0.0,72,0.0,0.0,1025.9,93,-0.5,8.8,0.0
2020-01-01 09:00:00,1577865600,Oxelaëre,Oxelaëre,0.0,98,0.0,0.0,1026.2,94,-0.4,8.3,0.0
2020-01-01 10:00:00,1577869200,Oxelaëre,Oxelaëre,0.0,95,0.0,0.0,1026.4,95,-0.2,7.6,0.0
2020-01-01 11:00:00,1577872800,Oxelaëre,Oxelaëre,20.7,97,0.0,0.0,1026.7,94,0.7,10.4,21.0
2020-01-01 12:00:00,1577876400,Oxelaëre,Oxelaëre,71.9,100,355.6,0.0,1027.0,92,1.1,9.0,73.0
2020-01-01 13:00:00,1577880000,Oxelaëre,Oxelaëre,12.5,100,0.0,0.0,1026.7,91,1.3,8.7,81.0
2020-01-01 14:00:00,1577883600,Oxelaëre,Oxelaëre,21.9,100,0.0,0.0,1026.6,94,1.4,8.6,107.0
