datetime,timestamp,station,station_name,direct_normal_irradiance,cloud_cover,sunshine_duration,precipitation,surface_pressure,relative_humidity_2m,temperature_2m,wind_speed_10m,shortwave_radiation
2020-01-01 00:00:00,1577833200,Thémis,Thémis,0.0,0,0.0,0.0,805.0,63,-2.0,4.6,0.0
2020-01-01 01:00:00,1577836800,Thémis,Thémis,0.0,0,0.0,0.0,805.1,61,-2.0,4.2,0.0
2020-01-01 02:00:00,1577840400,Thémis,Thémis,0.0,0,0.0,0.0,804.5,62,-2.4,6.7,0.0
2020-01-01 03:00:00,1577844000,Thémis,Thémis,0.0,0,0.0,0.0,804.7,54,-2.0,4.9,0.0
2020-01-01 04:00:00,1577847600,Thémis,Thémis,0.0,0,0.0,0.0,804.5,55,-2.0,4.6,0.0
2020-01-01 05:00:00,1577851200,Thémis,Thémis,0.0,0,0.0,0.0,804.1,56,-2.2,3.9,0.0
2020-01-01 06:00:00,1577854800,Thémis,Thémis,0.0,0,0.0,0.0,804.0,54,-2.2,3.9,0.0
2020-01-01 07:00:00,1577858400,Thémis,Thémis,0.0,0,0.0,0.0,803.9,52,-2.3,3.5,0.0
2020-01-01 08:00:00,1577862000,Thémis,Thémis,0.0,0,0.0,0.0,803.9,50,-2.6,3.9,0.0
2020-01-01 09:00:00,1577865600,Thémis,Thémis,0.0,0,0.0,0.0,804.0,48,-2.9,4.1,0.0
2020-01-01 10:00:00,1577869200,Thémis,Thémis,126.1,0,171.89,0.0,805.2,47,-1.8,4.1,16.0
2020-01-01 11:00:00,1577872800,Thémis,Thémis,710.6,0,3600.0,0.0,808.0,50,1.6,2.3,146.0
2020-01-01 12:00:00,1577876400,Thémis,Thémis,867.2,14,3600.0,0.0,808.5,63,2.1,2.7,292.0
2020-01-01 13:00:00,1577880000,Thémis,Thémis,932.4,31,3600.0,0.0,810.6,45,5.4,1.6,400.0
2020-01-01 14:00:00,1577883600,Thémis,Thémis,915.8,59,3600.0,0.0,810.4,37,6.2,1.8,449.0
2020-01-01 15:00:00,1577887200,Thémis,Thémis,444.2,92,3600.0,0.0,809.6,48,5.6,2.6,367.0
2020-01-01 16:00:00,1577890800,Thémis,Thémis,412.4,94,3600.0,0.0,809.1,54,5.0,2.0,311.0
2020-01-01 17:00:00,1577894400,Thémis,Thémis,316.4,92,3600.0,0.0,807.3,68,2.2,1.9,210.0
2020-01-01 18:00:00,1577898000,Thémis,Thémis,218.1,97,3419.41,0.0,805.2,69,-1.1,4.9,95.0
2020-01-01 19:00:00,1577901600,Thémis,Thémis,0.0,97,0.0,0.0,805.3,62,-1.1,4.9,6.0
2020-01-01 20:00:00,1577905200,Thémis,Thémis,0.0,94,0.0,0.0,805.5,54,-0.6,3.9,0.0
2020-01-01 21:00:00,1577908800,Thémis,Thémis,0.0,94,0.0,0.0,805.2,51,-0.8,3.9,0.0
2020-01-01 22:00:00,1577912400,Thémis,Thémis,0.0,28,0.0,0.0,804.8,47,-1.2,4.2,0.0
2020-01-01 23:00:00,1577916000,Thémis,Thémis,0.0,70,0.0,0.0,804.4,44,-1.8,4.1,0.0
2020-01-02 00:00:00,1577919600,Thémis,Thémis,0.0,0,0.0,0.0,806.1,31,0.7,1.9,0.0
2020-01-02 01:00:00,1577923200,Thémis,Thémis,0.0,0,0.0,0.0,809.4,17,4.9,2.4,0.0
2020-01-02 02:00:00,1577926800,Thémis,Thémis,0.0,0,0.0,0.0,809.0,17,4.5,4.3,0.0
2020-01-02 03:00:00,1577930400,Thémis,Thémis,0.0,49,0.0,0.0,806.0,28,0.8,4.6,0.0
2020-01-02 04:00:00,1577934000,Thémis,Thémis,0.0,69,0.0,0.0,805.4,31,-0.0,5.2,0.0
2020-01-02 05:00:00,1577937600,Thémis,Thémis,0.0,89,0.0,0.0,805.0,34,-0.7,4.9,0.0
2020-01-02 06:00:00,1577941200,Thémis,Thémis,0.0,94,0.0,0.0,805.0,34,-0.3,4.9,0.0
2020-01-02 07:00:00,1577944800,Thémis,Thémis,0.0,67,0.0,0.0,805.3,35,0.3,3.9,0.0
2020-01-02 08:00:00,1577948400,Thémis,Thémis,0.0,43,0.0,0.0,804.6,36,-0.9,5.0,0.0
2020-01-02 09:00:00,1577952000,Thémis,Thémis,0.0,29,0.0,0.0,804.8,34,-0.6,4.6,0.0
2020-01-02 10:00:00,1577955600,Thémis,Thémis,113.5,13,138.11,0.0,805.8,35,0.0,3.4,16.0
2020-01-02 11:00:00,1577959200,Thémis,Thémis,672.2,0,3600.0,0.0,807.6,46,2.1,1.9,141.0
2020-01-02 12:00:00,1577962800,Thémis,Thémis,841.0,0,3600.0,0.0,810.0,27,5.5,1.1,286.0
2020-01-02 13:00:00,1577966400,Thémis,Thémis,922.1,0,3600.0,0.0,809.7,42,5.5,3.0,395.0
2020-01-02 14:00:00,1577970000,Thémis,Thémis,957.1,0,3600.0,0.0,809.5,38,6.2,3.3,452.0
2020-01-02 15:00:00,1577973600,Thémis,Thémis,966.1,7,3600.0,0.0,809.2,41,6.3,4.5,452.0
2020-01-02 16:00:00,1577977200,Thémis,Thémis,926.4,63,3600.0,0.0,808.4,52,5.2,5.4,389.0
2020-01-02 17:00:00,1577980800,Thémis,Thémis,676.2,91,3600.0,0.0,806.3,70,2.2,6.2,255.0
2020-01-02 18:00:00,1577984400,Thémis,Thémis,181.4,96,3475.44,0.0,804.8,64,-0.1,6.6,91.0
2020-01-02 19:00:00,1577988000,Thémis,Thémis,14.3,96,0.0,0.0,804.2,58,-1.4,7.0,7.0
2020-01-02 20:00:00,1577991600,Thémis,Thémis,0.0,98,0.0,0.0,804.5,52,-0.9,6.0,0.0
2020-01-02 21:00:00,1577995200,Thémis,Thémis,0.0,94,0.0,0.0,804.9,50,-0.4,4.2,0.0
2020-01-02 22:00:00,1577998800,Thémis,Thémis,0.0,96,0.0,0.0,805.4,48,0.0,3.5,0.0
2020-01-02 23:00:00,1578002400,Thémis,Thémis,0.0,96,0.0,0.0,807.0,39,2.2,3.2,0.0
2020-01-03 00:00:00,1578006000,Thémis,Thémis,0.0,91,0.0,0.0,809.5,27,6.1,3.4,0.0
2020-01-03 01:00:00,1578009600,Thémis,Thémis,0.0,95,0.0,0.0,809.7,25,6.5,3.6,0.0
2020-01-03 02:00:00,1578013200,Thémis,Thémis,0.0,93,0.0,0.0,809.8,26,6.5,4.3,0.0
2020-01-03 03:00:00,1578016800,Thémis,Thémis,0.0,93,0.0,0.0,809.7,24,7.1,3.9,0.0
2020-01-03 04:00:00,1578020400,Thémis,Thémis,0.0,97,0.0,0.0,809.7,23,7.5,3.6,0.0
2020-01-03 05:00:00,1578024000,Thémis,Thémis,0.0,88,0.0,0.0,809.5,23,7.3,2.3,0.0
2020-01-03 06:00:00,1578027600,Thémis,Thémis,0.0,82,0.0,0.0,809.0,23,7.0,1.8,0.0
2020-01-03 07:00:00,1578031200,Thémis,Thémis,0.0,57,0.0,0.0,808.4,24,6.5,1.6,0.0
2020-01-03 08:00:00,1578034800,Thémis,Thémis,0.0,70,0.0,0.0,808.1,25,6.0,1.1,0.0
2020-01-03 09:00:00,1578038400,Thémis,Thémis,0.0,91,0.0,0.0,808.5,24,5.9,0.4,0.0
2020-01-03 10:00:00,1578042000,Thémis,Thémis,37.8,96,0.0,0.0,808.6,24,5.7,0.7,13.0
2020-01-03 11:00:00,1578045600,Thémis,Thémis,183.7,94,3600.0,0.0,808.9,23,5.7,0.4,104.0
2020-01-03 12:00:00,1578049200,Thémis,Thémis,430.4,98,3600.0,0.0,809.4,22,5.8,3.2,239.0
2020-01-03 13:00:00,1578052800,Thémis,Thémis,612.3,95,3600.0,0.0,809.3,34,5.3,2.2,354.0
2020-01-03 14:00:00,1578056400,Thémis,Thémis,608.4,96,3600.0,0.0,809.2,36,5.5,1.6,400.0
2020-01-03 15:00:00,1578060000,Thémis,Thémis,700.2,96,3600.0,0.0,808.6,38,5.2,2.3,415.0
2020-01-03 16:00:00,1578063600,Thémis,Thémis,210.9,98,3600.0,0.0,807.7,56,3.3,5.8,268.0
2020-01-03 17:00:00,1578067200,Thémis,Thémis,181.5,97,3600.0,0.0,807.5,70,1.7,5.4,180.0
2020-01-03 18:00:00,1578070800,Thémis,Thémis,48.4,96,0.0,0.0,807.1,72,-0.1,6.6,73.0
2020-01-03 19:00:00,1578074400,Thémis,Thémis,0.0,97,0.0,0.0,806.2,71,-1.8,7.7,6.0
2020-01-03 20:00:00,1578078000,Thémis,Thémis,0.0,91,0.0,0.0,805.8,71,-2.6,8.6,0.0
2020-01-03 21:00:00,1578081600,Thémis,Thémis,0.0,39,0.0,0.0,806.3,73,-2.9,8.2,0.0
