datetime,timestamp,station,station_name,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation
2025-05-22 00:00:00,1747868400,brest,Brest,12.1,89.0,0.0,1014.5,14.4,328.0,0.0
2025-05-22 01:00:00,1747872000,brest,Brest,11.9,91.0,0.0,1014.6,14.3,327.0,0.0
2025-05-22 02:00:00,1747875600,brest,Brest,11.7,92.0,0.0,1014.6,14.5,325.0,0.0
2025-05-22 03:00:00,1747879200,brest,Brest,11.6,94.0,0.0,1014.5,13.0,327.0,0.0
2025-05-22 04:00:00,1747882800,brest,Brest,11.5,94.0,0.0,1014.4,12.6,329.0,0.0
2025-05-22 05:00:00,1747886400,brest,Brest,11.5,95.0,0.0,1014.3,12.4,327.0,0.0
2025-05-22 06:00:00,1747890000,brest,Brest,11.5,95.0,0.0,1014.4,11.9,326.0,0.0
2025-05-22 07:00:00,1747893600,brest,Brest,11.5,96.0,0.0,1014.8,11.8,320.0,5.0
2025-05-22 08:00:00,1747897200,brest,Brest,12.7,93.0,0.0,1015.1,11.5,319.0,89.0
2025-05-22 09:00:00,1747900800,brest,Brest,14.4,87.0,0.0,1015.1,9.2,320.0,243.0
2025-05-22 10:00:00,1747904400,brest,Brest,16.1,77.0,0.0,1015.3,8.7,315.0,414.0
2025-05-22 11:00:00,1747908000,brest,Brest,17.5,65.0,0.0,1015.3,9.9,307.0,578.0
2025-05-22 12:00:00,1747911600,brest,Brest,18.1,62.0,0.0,1015.4,12.8,292.0,713.0
2025-05-22 13:00:00,1747915200,brest,Brest,18.3,62.0,0.0,1015.5,14.7,287.0,804.0
2025-05-22 14:00:00,1747918800,brest,Brest,18.5,62.0,0.0,1015.4,15.5,288.0,845.0
2025-05-22 15:00:00,1747922400,brest,Brest,18.9,58.0,0.0,1015.5,15.4,288.0,864.0
2025-05-22 16:00:00,1747926000,brest,Brest,18.6,60.0,0.0,1015.3,17.0,290.0,815.0
2025-05-22 17:00:00,1747929600,brest,Brest,18.2,64.0,0.0,1015.3,18.3,296.0,730.0
2025-05-22 18:00:00,1747933200,brest,Brest,17.7,68.0,0.0,1015.2,18.5,306.0,602.0
2025-05-22 19:00:00,1747936800,brest,Brest,17.0,74.0,0.0,1015.0,16.6,312.0,473.0
2025-05-22 20:00:00,1747940400,brest,Brest,16.2,78.0,0.0,1015.0,15.3,315.0,323.0
2025-05-22 21:00:00,1747944000,brest,Brest,15.1,85.0,0.0,1015.2,13.9,317.0,158.0
2025-05-22 22:00:00,1747947600,brest,Brest,13.8,93.0,0.0,1015.2,10.9,314.0,32.0
2025-05-22 23:00:00,1747951200,brest,Brest,13.1,97.0,0.0,1015.4,11.6,309.0,0.0
2025-05-23 00:00:00,1747954800,brest,Brest,12.7,97.0,0.0,1015.3,11.8,310.0,0.0
2025-05-23 01:00:00,1747958400,brest,Brest,12.5,97.0,0.0,1015.2,12.3,314.0,0.0
2025-05-23 02:00:00,1747962000,brest,Brest,12.4,96.0,0.0,1015.1,12.6,316.0,0.0
2025-05-23 03:00:00,1747965600,brest,Brest,11.6,96.0,0.0,1015.2,11.3,313.0,0.0
2025-05-23 04:00:00,1747969200,brest,Brest,11.6,96.0,0.0,1014.8,12.1,317.0,0.0
2025-05-23 05:00:00,1747972800,brest,Brest,11.4,96.0,0.0,1014.5,10.6,318.0,0.0
2025-05-23 06:00:00,1747976400,brest,Brest,11.2,97.0,0.0,1014.6,9.8,325.0,0.0
2025-05-23 07:00:00,1747980000,brest,Brest,10.9,97.0,0.0,1014.6,7.5,327.0,6.0
2025-05-23 08:00:00,1747983600,brest,Brest,11.8,95.0,0.0,1014.8,8.9,322.0,93.0
2025-05-23 09:00:00,1747987200,brest,Brest,13.5,83.0,0.0,1014.9,8.3,327.0,253.0
2025-05-23 10:00:00,1747990800,brest,Brest,14.8,73.0,0.0,1015.1,8.4,326.0,428.0
2025-05-23 11:00:00,1747994400,brest,Brest,16.1,63.0,0.0,1015.2,9.2,332.0,590.0
2025-05-23 12:00:00,1747998000,brest,Brest,17.1,58.0,0.0,1015.2,10.4,337.0,722.0
2025-05-23 13:00:00,1748001600,brest,Brest,17.7,56.0,0.0,1015.4,11.5,331.0,793.0
2025-05-23 14:00:00,1748005200,brest,Brest,17.9,55.0,0.0,1015.6,12.9,327.0,823.0
2025-05-23 15:00:00,1748008800,brest,Brest,19.4,49.0,0.0,1015.5,11.6,352.0,862.0
2025-05-23 16:00:00,1748012400,brest,Brest,19.1,51.0,0.0,1015.6,13.5,330.0,836.0
2025-05-23 17:00:00,1748016000,brest,Brest,18.6,56.0,0.0,1015.4,13.7,320.0,768.0
2025-05-23 18:00:00,1748019600,brest,Brest,18.0,59.0,0.0,1015.5,13.2,313.0,616.0
2025-05-23 19:00:00,1748023200,brest,Brest,17.2,64.0,0.0,1015.4,14.2,306.0,468.0
2025-05-23 20:00:00,1748026800,brest,Brest,16.1,68.0,0.0,1015.5,14.1,304.0,298.0
2025-05-23 21:00:00,1748030400,brest,Brest,15.1,73.0,0.0,1015.6,10.8,302.0,133.0
2025-05-23 22:00:00,1748034000,brest,Brest,13.8,85.0,0.0,1015.6,9.5,292.0,34.0
2025-05-23 23:00:00,1748037600,brest,Brest,13.1,91.0,0.0,1015.7,7.4,263.0,0.0
2025-05-24 00:00:00,1748041200,brest,Brest,13.1,92.0,0.0,1015.4,8.2,251.0,0.0
2025-05-24 01:00:00,1748044800,brest,Brest,12.9,92.0,0.0,1015.3,10.6,260.0,0.0
2025-05-24 02:00:00,1748048400,brest,Brest,13.0,89.0,0.0,1015.0,11.8,259.0,0.0
2025-05-24 03:00:00,1748052000,brest,Brest,13.3,94.0,0.0,1014.8,11.4,257.0,0.0
2025-05-24 04:00:00,1748055600,brest,Brest,13.2,95.0,0.0,1014.1,11.6,252.0,0.0
2025-05-24 05:00:00,1748059200,brest,Brest,13.1,94.0,0.0,1013.6,13.1,247.0,0.0
2025-05-24 06:00:00,1748062800,brest,Brest,13.6,93.0,0.0,1013.2,14.5,245.0,0.0
2025-05-24 07:00:00,1748066400,brest,Brest,14.2,92.0,0.0,1013.2,16.0,247.0,2.0
2025-05-24 08:00:00,1748070000,brest,Brest,14.5,92.0,0.1,1013.1,18.7,250.0,28.0
2025-05-24 09:00:00,1748073600,brest,Brest,14.7,93.0,0.2,1013.0,18.6,244.0,67.0
2025-05-24 10:00:00,1748077200,brest,Brest,15.4,88.0,0.1,1012.8,20.2,239.0,117.0
2025-05-24 11:00:00,1748080800,brest,Brest,15.6,88.0,0.2,1012.9,21.6,246.0,155.0
2025-05-24 12:00:00,1748084400,brest,Brest,16.3,82.0,0.1,1012.7,20.2,244.0,283.0
2025-05-24 13:00:00,1748088000,brest,Brest,17.3,76.0,0.0,1012.5,21.1,246.0,461.0
2025-05-24 14:00:00,1748091600,brest,Brest,17.0,78.0,0.2,1012.4,23.5,247.0,478.0
2025-05-24 15:00:00,1748095200,brest,Brest,17.1,78.0,0.2,1012.3,23.1,234.0,477.0
2025-05-24 16:00:00,1748098800,brest,Brest,16.8,80.0,0.2,1012.1,24.3,235.0,468.0
2025-05-24 17:00:00,1748102400,brest,Brest,16.9,80.0,0.2,1011.7,26.0,236.0,466.0
2025-05-24 18:00:00,1748106000,brest,Brest,16.5,82.0,0.2,1011.6,26.4,239.0,342.0
2025-05-24 19:00:00,1748109600,brest,Brest,16.0,85.0,0.3,1011.1,25.9,232.0,167.0
2025-05-24 20:00:00,1748113200,brest,Brest,15.5,92.0,0.6,1010.7,25.7,232.0,90.0
2025-05-24 21:00:00,1748116800,brest,Brest,15.3,92.0,0.2,1010.4,24.3,233.0,34.0
2025-05-24 22:00:00,1748120400,brest,Brest,15.0,94.0,0.2,1010.3,23.4,233.0,21.0
2025-05-24 23:00:00,1748124000,brest,Brest,14.9,95.0,0.1,1009.9,22.5,226.0,0.0
2025-05-25 00:00:00,1748127600,brest,Brest,14.9,95.0,0.6,1009.6,25.2,232.0,0.0
2025-05-25 01:00:00,1748131200,brest,Brest,14.8,95.0,0.6,1009.1,25.8,233.0,0.0
2025-05-25 02:00:00,1748134800,brest,Brest,14.7,95.0,3.4,1008.6,25.7,236.0,0.0
2025-05-25 03:00:00,1748138400,brest,Brest,14.6,97.0,1.5,1008.4,26.3,231.0,0.0
2025-05-25 04:00:00,1748142000,brest,Brest,14.9,96.0,0.9,1008.2,26.7,247.0,0.0
2025-05-25 05:00:00,1748145600,brest,Brest,14.8,96.0,0.2,1007.8,23.5,255.0,0.0
2025-05-25 06:00:00,1748149200,brest,Brest,14.1,95.0,0.0,1007.8,21.3,262.0,0.0
2025-05-25 07:00:00,1748152800,brest,Brest,13.8,94.0,0.0,1008.2,21.8,267.0,6.0
2025-05-25 08:00:00,1748156400,brest,Brest,13.8,89.0,0.2,1008.8,24.7,275.0,76.0
2025-05-25 09:00:00,1748160000,brest,Brest,14.4,91.0,0.0,1009.2,19.8,286.0,168.0
2025-05-25 10:00:00,1748163600,brest,Brest,15.4,82.0,0.0,1009.8,18.6,300.0,355.0
2025-05-25 11:00:00,1748167200,brest,Brest,15.7,78.0,0.1,1010.4,18.8,304.0,474.0
2025-05-25 12:00:00,1748170800,brest,Brest,16.4,73.0,0.0,1010.9,19.4,300.0,644.0
2025-05-25 13:00:00,1748174400,brest,Brest,16.9,67.0,0.1,1011.5,21.5,297.0,781.0
2025-05-25 14:00:00,1748178000,brest,Brest,16.7,66.0,0.0,1011.8,21.6,290.0,825.0
2025-05-25 15:00:00,1748181600,brest,Brest,15.6,68.0,0.1,1012.7,22.1,296.0,621.0
