datetime,timestamp,station,station_name,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation
2025-05-22 00:00:00,1747868400,lyon,Lyon,15.6,66.0,0.0,991.7,3.6,143.0,0.0
2025-05-22 01:00:00,1747872000,lyon,Lyon,15.2,68.0,0.0,991.1,5.8,160.0,0.0
2025-05-22 02:00:00,1747875600,lyon,Lyon,14.6,73.0,0.6,990.4,4.9,180.0,0.0
2025-05-22 03:00:00,1747879200,lyon,Lyon,14.1,91.0,2.2,990.1,5.4,290.0,0.0
2025-05-22 04:00:00,1747882800,lyon,Lyon,13.0,87.0,2.3,990.3,17.4,316.0,0.0
2025-05-22 05:00:00,1747886400,lyon,Lyon,12.0,87.0,0.0,990.7,15.3,311.0,0.0
2025-05-22 06:00:00,1747890000,lyon,Lyon,11.4,87.0,0.0,991.0,13.5,312.0,0.0
2025-05-22 07:00:00,1747893600,lyon,Lyon,11.4,84.0,0.0,991.8,12.4,317.0,26.0
2025-05-22 08:00:00,1747897200,lyon,Lyon,12.0,79.0,0.0,992.1,13.6,313.0,114.0
2025-05-22 09:00:00,1747900800,lyon,Lyon,13.1,72.0,0.0,992.1,14.0,316.0,255.0
2025-05-22 10:00:00,1747904400,lyon,Lyon,14.4,67.0,0.0,992.3,14.3,324.0,427.0
2025-05-22 11:00:00,1747908000,lyon,Lyon,15.1,62.0,0.1,992.3,15.7,332.0,432.0
2025-05-22 12:00:00,1747911600,lyon,Lyon,13.5,68.0,0.5,992.8,16.0,334.0,302.0
2025-05-22 13:00:00,1747915200,lyon,Lyon,15.2,62.0,0.4,992.9,21.1,341.0,648.0
2025-05-22 14:00:00,1747918800,lyon,Lyon,14.9,66.0,0.2,992.9,20.7,343.0,325.0
2025-05-22 15:00:00,1747922400,lyon,Lyon,13.9,66.0,0.2,993.8,23.5,340.0,362.0
2025-05-22 16:00:00,1747926000,lyon,Lyon,13.7,67.0,0.5,994.0,22.7,338.0,278.0
2025-05-22 17:00:00,1747929600,lyon,Lyon,14.3,63.0,0.1,994.1,23.6,333.0,253.0
2025-05-22 18:00:00,1747933200,lyon,Lyon,15.3,55.0,0.0,994.3,21.8,335.0,398.0
2025-05-22 19:00:00,1747936800,lyon,Lyon,15.7,48.0,0.0,994.2,23.0,348.0,251.0
2025-05-22 20:00:00,1747940400,lyon,Lyon,15.0,52.0,0.0,994.6,18.6,355.0,160.0
2025-05-22 21:00:00,1747944000,lyon,Lyon,13.9,58.0,0.0,995.0,16.1,342.0,52.0
2025-05-22 22:00:00,1747947600,lyon,Lyon,12.9,62.0,0.0,995.6,13.2,330.0,1.0
2025-05-22 23:00:00,1747951200,lyon,Lyon,12.1,67.0,0.0,996.0,11.8,322.0,0.0
2025-05-23 00:00:00,1747954800,lyon,Lyon,11.6,69.0,0.0,996.0,12.2,323.0,0.0
2025-05-23 01:00:00,1747958400,lyon,Lyon,11.3,69.0,0.0,995.8,10.9,324.0,0.0
2025-05-23 02:00:00,1747962000,lyon,Lyon,10.9,70.0,0.0,995.7,9.4,318.0,0.0
2025-05-23 03:00:00,1747965600,lyon,Lyon,10.5,75.0,0.0,995.4,6.3,307.0,0.0
2025-05-23 04:00:00,1747969200,lyon,Lyon,9.6,81.0,0.0,995.2,4.6,324.0,0.0
2025-05-23 05:00:00,1747972800,lyon,Lyon,9.1,83.0,0.0,995.0,4.5,323.0,0.0
2025-05-23 06:00:00,1747976400,lyon,Lyon,8.9,84.0,0.0,995.1,5.5,314.0,0.0
2025-05-23 07:00:00,1747980000,lyon,Lyon,9.4,83.0,0.0,995.4,6.7,308.0,31.0
2025-05-23 08:00:00,1747983600,lyon,Lyon,11.3,75.0,0.0,995.6,5.7,311.0,153.0
2025-05-23 09:00:00,1747987200,lyon,Lyon,13.3,64.0,0.0,995.8,6.8,331.0,309.0
