datetime,timestamp,station,station_name,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation
2025-05-22 00:00:00,1747868400,marseille,Marseille,18.0,58.0,0.0,1011.5,21.5,302.0,0.0
2025-05-22 01:00:00,1747872000,marseille,Marseille,17.8,58.0,0.0,1011.6,22.3,306.0,0.0
2025-05-22 02:00:00,1747875600,marseille,Marseille,17.6,60.0,0.0,1011.4,23.1,307.0,0.0
2025-05-22 03:00:00,1747879200,marseille,Marseille,17.4,65.0,0.0,1011.2,23.9,298.0,0.0
2025-05-22 04:00:00,1747882800,marseille,Marseille,16.5,73.0,0.0,1011.1,20.9,301.0,0.0
2025-05-22 05:00:00,1747886400,marseille,Marseille,15.9,80.0,0.1,1011.3,21.7,291.0,0.0
2025-05-22 06:00:00,1747890000,marseille,Marseille,15.6,82.0,0.3,1011.0,23.1,296.0,0.0
2025-05-22 07:00:00,1747893600,marseille,Marseille,15.4,82.0,0.2,1011.0,20.4,292.0,13.0
2025-05-22 08:00:00,1747897200,marseille,Marseille,15.5,80.0,0.2,1011.2,20.3,290.0,52.0
2025-05-22 09:00:00,1747900800,marseille,Marseille,16.3,73.0,0.0,1010.9,19.7,298.0,137.0
2025-05-22 10:00:00,1747904400,marseille,Marseille,17.2,67.0,0.0,1010.7,20.9,309.0,322.0
2025-05-22 11:00:00,1747908000,marseille,Marseille,18.3,54.0,0.0,1010.5,24.3,313.0,423.0
2025-05-22 12:00:00,1747911600,marseille,Marseille,18.8,46.0,0.0,1010.5,25.9,310.0,470.0
2025-05-22 13:00:00,1747915200,marseille,Marseille,19.9,42.0,0.0,1010.2,27.5,310.0,798.0
2025-05-22 14:00:00,1747918800,marseille,Marseille,20.7,37.0,0.0,1009.7,28.5,307.0,838.0
2025-05-22 15:00:00,1747922400,marseille,Marseille,20.3,38.0,0.0,1009.2,32.2,315.0,834.0
2025-05-22 16:00:00,1747926000,marseille,Marseille,20.8,36.0,0.0,1008.8,34.4,313.0,779.0
2025-05-22 17:00:00,1747929600,marseille,Marseille,19.9,40.0,0.0,1008.7,36.0,320.0,666.0
2025-05-22 18:00:00,1747933200,marseille,Marseille,19.1,44.0,0.0,1008.6,38.6,322.0,527.0
2025-05-22 19:00:00,1747936800,marseille,Marseille,17.4,52.0,0.0,1008.7,39.6,321.0,322.0
2025-05-22 20:00:00,1747940400,marseille,Marseille,16.8,50.0,0.0,1009.3,41.4,323.0,175.0
2025-05-22 21:00:00,1747944000,marseille,Marseille,16.2,54.0,0.0,1009.9,40.2,325.0,38.0
2025-05-22 22:00:00,1747947600,marseille,Marseille,15.7,54.0,0.0,1010.5,38.3,327.0,0.0
2025-05-22 23:00:00,1747951200,marseille,Marseille,15.6,54.0,0.0,1010.9,35.2,326.0,0.0
2025-05-23 00:00:00,1747954800,marseille,Marseille,15.4,53.0,0.0,1011.0,33.3,326.0,0.0
2025-05-23 01:00:00,1747958400,marseille,Marseille,15.0,54.0,0.0,1010.7,32.9,325.0,0.0
2025-05-23 02:00:00,1747962000,marseille,Marseille,14.6,55.0,0.0,1010.6,32.7,324.0,0.0
2025-05-23 03:00:00,1747965600,marseille,Marseille,14.3,59.0,0.0,1010.6,29.4,332.0,0.0
2025-05-23 04:00:00,1747969200,marseille,Marseille,14.0,62.0,0.0,1010.4,29.6,330.0,0.0
2025-05-23 05:00:00,1747972800,marseille,Marseille,13.8,63.0,0.0,1010.2,31.6,329.0,0.0
2025-05-23 06:00:00,1747976400,marseille,Marseille,13.7,64.0,0.0,1010.4,30.9,328.0,0.0
2025-05-23 07:00:00,1747980000,marseille,Marseille,13.9,62.0,0.0,1010.8,30.3,329.0,26.0
2025-05-23 08:00:00,1747983600,marseille,Marseille,14.5,60.0,0.0,1011.0,29.2,330.0,155.0
2025-05-23 09:00:00,1747987200,marseille,Marseille,15.7,56.0,0.0,1011.0,29.1,332.0,334.0
2025-05-23 10:00:00,1747990800,marseille,Marseille,17.5,48.0,0.0,1011.1,28.5,331.0,520.0
2025-05-23 11:00:00,1747994400,marseille,Marseille,19.2,43.0,0.0,1010.9,27.7,331.0,686.0
2025-05-23 12:00:00,1747998000,marseille,Marseille,20.7,39.0,0.0,1011.2,25.9,334.0,812.0
2025-05-23 13:00:00,1748001600,marseille,Marseille,21.9,37.0,0.0,1011.4,25.1,331.0,892.0
2025-05-23 14:00:00,1748005200,marseille,Marseille,22.8,36.0,0.0,1011.3,24.2,327.0,925.0
2025-05-23 15:00:00,1748008800,marseille,Marseille,23.8,28.0,0.0,1010.9,26.7,324.0,848.0
2025-05-23 16:00:00,1748012400,marseille,Marseille,23.9,27.0,0.0,1010.8,27.9,323.0,835.0
2025-05-23 17:00:00,1748016000,marseille,Marseille,23.4,28.0,0.0,1010.9,29.2,324.0,723.0
2025-05-23 18:00:00,1748019600,marseille,Marseille,22.6,32.0,0.0,1011.1,29.4,327.0,555.0
2025-05-23 19:00:00,1748023200,marseille,Marseille,21.7,34.0,0.0,1011.3,31.5,332.0,365.0
2025-05-23 20:00:00,1748026800,marseille,Marseille,20.6,35.0,0.0,1011.9,31.8,336.0,184.0
2025-05-23 21:00:00,1748030400,marseille,Marseille,19.4,38.0,0.0,1012.5,28.5,335.0,42.0
2025-05-23 22:00:00,1748034000,marseille,Marseille,18.7,41.0,0.0,1013.3,27.1,336.0,0.0
2025-05-23 23:00:00,1748037600,marseille,Marseille,18.0,43.0,0.0,1013.9,25.1,330.0,0.0
2025-05-24 00:00:00,1748041200,marseille,Marseille,17.2,46.0,0.0,1014.0,24.0,330.0,0.0
2025-05-24 01:00:00,1748044800,marseille,Marseille,16.5,49.0,0.0,1014.1,22.5,332.0,0.0
2025-05-24 02:00:00,1748048400,marseille,Marseille,15.8,51.0,0.0,1014.1,21.4,338.0,0.0
2025-05-24 03:00:00,1748052000,marseille,Marseille,15.6,53.0,0.0,1013.9,18.8,343.0,0.0
2025-05-24 04:00:00,1748055600,marseille,Marseille,15.0,55.0,0.0,1013.6,20.0,338.0,0.0
2025-05-24 05:00:00,1748059200,marseille,Marseille,14.5,56.0,0.0,1013.7,18.8,340.0,0.0
2025-05-24 06:00:00,1748062800,marseille,Marseille,13.9,58.0,0.0,1014.0,18.6,340.0,0.0
2025-05-24 07:00:00,1748066400,marseille,Marseille,13.8,58.0,0.0,1014.4,17.9,336.0,27.0
2025-05-24 08:00:00,1748070000,marseille,Marseille,14.9,53.0,0.0,1014.8,16.5,331.0,151.0
2025-05-24 09:00:00,1748073600,marseille,Marseille,16.5,46.0,0.0,1015.0,18.2,328.0,332.0
2025-05-24 10:00:00,1748077200,marseille,Marseille,18.2,40.0,0.0,1015.3,17.7,323.0,515.0
2025-05-24 11:00:00,1748080800,marseille,Marseille,20.0,36.0,0.0,1015.5,18.0,320.0,681.0
2025-05-24 12:00:00,1748084400,marseille,Marseille,21.5,32.0,0.0,1015.6,19.8,320.0,812.0
2025-05-24 13:00:00,1748088000,marseille,Marseille,22.8,28.0,0.0,1015.3,19.4,317.0,899.0
2025-05-24 14:00:00,1748091600,marseille,Marseille,23.8,24.0,0.0,1014.8,19.6,312.0,946.0
2025-05-24 15:00:00,1748095200,marseille,Marseille,24.5,21.0,0.0,1015.0,19.0,305.0,927.0
2025-05-24 16:00:00,1748098800,marseille,Marseille,24.6,19.0,0.0,1014.8,19.6,305.0,841.0
2025-05-24 17:00:00,1748102400,marseille,Marseille,24.7,17.0,0.0,1014.5,21.0,307.0,716.0
2025-05-24 18:00:00,1748106000,marseille,Marseille,24.0,17.0,0.0,1014.3,23.0,317.0,550.0
2025-05-24 19:00:00,1748109600,marseille,Marseille,23.0,20.0,0.0,1014.3,24.8,328.0,374.0
2025-05-24 20:00:00,1748113200,marseille,Marseille,21.9,24.0,0.0,1014.6,25.9,331.0,190.0
2025-05-24 21:00:00,1748116800,marseille,Marseille,20.8,27.0,0.0,1015.1,24.0,333.0,45.0
2025-05-24 22:00:00,1748120400,marseille,Marseille,20.1,29.0,0.0,1015.6,22.6,337.0,0.0
2025-05-24 23:00:00,1748124000,marseille,Marseille,19.6,30.0,0.0,1015.8,20.9,336.0,0.0
2025-05-25 00:00:00,1748127600,marseille,Marseille,18.9,32.0,0.0,1015.8,17.7,333.0,0.0
2025-05-25 01:00:00,1748131200,marseille,Marseille,18.1,37.0,0.0,1015.9,16.4,333.0,0.0
2025-05-25 02:00:00,1748134800,marseille,Marseille,17.2,40.0,0.0,1016.0,14.8,333.0,0.0
2025-05-25 03:00:00,1748138400,marseille,Marseille,16.8,42.0,0.0,1015.6,15.8,333.0,0.0
2025-05-25 04:00:00,1748142000,marseille,Marseille,15.9,45.0,0.0,1015.8,12.3,337.0,0.0
2025-05-25 05:00:00,1748145600,marseille,Marseille,15.2,45.0,0.0,1015.9,11.3,335.0,0.0
2025-05-25 06:00:00,1748149200,marseille,Marseille,14.5,47.0,0.0,1016.0,10.4,340.0,0.0
2025-05-25 07:00:00,1748152800,marseille,Marseille,14.6,46.0,0.0,1016.3,10.3,344.0,27.0
2025-05-25 08:00:00,1748156400,marseille,Marseille,16.4,40.0,0.0,1016.6,8.8,343.0,152.0
2025-05-25 09:00:00,1748160000,marseille,Marseille,19.0,34.0,0.0,1016.7,7.2,333.0,325.0
2025-05-25 10:00:00,1748163600,marseille,Marseille,21.3,32.0,0.0,1017.0,6.1,310.0,506.0
2025-05-25 11:00:00,1748167200,marseille,Marseille,22.7,32.0,0.0,1016.9,7.4,277.0,668.0
2025-05-25 12:00:00,1748170800,marseille,Marseille,23.7,30.0,0.0,1016.9,9.3,255.0,797.0
