datetime,timestamp,station,station_name,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation
2025-05-22 00:00:00,1747868400,paris,Paris,11.1,93.0,0.8,1011.1,12.2,329.0,0.0
2025-05-22 01:00:00,1747872000,paris,Paris,11.2,94.0,0.3,1011.1,11.8,334.0,0.0
2025-05-22 02:00:00,1747875600,paris,Paris,11.1,93.0,0.1,1011.1,12.8,334.0,0.0
2025-05-22 03:00:00,1747879200,paris,Paris,11.0,95.0,0.2,1011.5,12.9,337.0,0.0
2025-05-22 04:00:00,1747882800,paris,Paris,10.5,93.0,0.0,1011.7,13.4,343.0,0.0
2025-05-22 05:00:00,1747886400,paris,Paris,9.4,92.0,0.0,1012.0,13.6,343.0,0.0
2025-05-22 06:00:00,1747890000,paris,Paris,8.4,94.0,0.0,1012.5,11.9,340.0,0.0
2025-05-22 07:00:00,1747893600,paris,Paris,8.4,92.0,0.0,1013.1,11.0,334.0,30.0
2025-05-22 08:00:00,1747897200,paris,Paris,9.3,86.0,0.0,1013.6,10.7,335.0,152.0
2025-05-22 09:00:00,1747900800,paris,Paris,10.3,78.0,0.0,1013.9,14.7,352.0,223.0
2025-05-22 10:00:00,1747904400,paris,Paris,11.6,66.0,0.0,1014.1,14.3,355.0,357.0
2025-05-22 11:00:00,1747908000,paris,Paris,13.2,60.0,0.0,1014.1,11.9,349.0,519.0
2025-05-22 12:00:00,1747911600,paris,Paris,14.7,57.0,0.0,1014.3,10.0,343.0,702.0
2025-05-22 13:00:00,1747915200,paris,Paris,16.1,51.0,0.0,1014.1,9.9,345.0,801.0
2025-05-22 14:00:00,1747918800,paris,Paris,17.0,51.0,0.0,1013.9,7.4,338.0,839.0
2025-05-22 15:00:00,1747922400,paris,Paris,17.5,47.0,0.0,1014.0,6.8,320.0,857.0
2025-05-22 16:00:00,1747926000,paris,Paris,18.9,39.0,0.0,1013.6,11.7,322.0,821.0
2025-05-22 17:00:00,1747929600,paris,Paris,18.5,40.0,0.0,1013.3,13.3,319.0,438.0
2025-05-22 18:00:00,1747933200,paris,Paris,18.1,44.0,0.0,1013.4,10.4,312.0,292.0
2025-05-22 19:00:00,1747936800,paris,Paris,17.9,45.0,0.0,1013.0,11.0,311.0,267.0
2025-05-22 20:00:00,1747940400,paris,Paris,17.5,47.0,0.0,1012.8,10.1,321.0,169.0
2025-05-22 21:00:00,1747944000,paris,Paris,16.3,55.0,0.0,1013.2,8.9,339.0,74.0
2025-05-22 22:00:00,1747947600,paris,Paris,14.9,63.0,0.0,1013.9,8.5,359.0,6.0
2025-05-22 23:00:00,1747951200,paris,Paris,13.8,67.0,0.0,1014.3,10.5,22.0,0.0
2025-05-23 00:00:00,1747954800,paris,Paris,12.4,74.0,0.0,1014.7,8.8,35.0,0.0
2025-05-23 01:00:00,1747958400,paris,Paris,11.7,78.0,0.0,1014.8,8.4,31.0,0.0
