datetime,timestamp,station,station_name,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation
2025-05-22 00:00:00,1747868400,toulouse,Toulouse,13.9,85.0,0.1,999.9,20.2,268.0,0.0
2025-05-22 01:00:00,1747872000,toulouse,Toulouse,13.6,87.0,0.5,999.5,20.0,262.0,0.0
2025-05-22 02:00:00,1747875600,toulouse,Toulouse,13.3,91.0,0.8,999.0,20.6,265.0,0.0
2025-05-22 03:00:00,1747879200,toulouse,Toulouse,13.2,90.0,0.5,998.6,19.3,266.0,0.0
2025-05-22 04:00:00,1747882800,toulouse,Toulouse,12.9,92.0,0.4,998.4,21.8,279.0,0.0
2025-05-22 05:00:00,1747886400,toulouse,Toulouse,12.7,93.0,0.5,998.6,18.3,305.0,0.0
2025-05-22 06:00:00,1747890000,toulouse,Toulouse,11.9,95.0,0.0,998.9,15.8,306.0,0.0
2025-05-22 07:00:00,1747893600,toulouse,Toulouse,11.5,95.0,0.1,999.6,16.4,303.0,9.0
2025-05-22 08:00:00,1747897200,toulouse,Toulouse,11.9,88.0,0.2,1000.1,17.5,305.0,93.0
2025-05-22 09:00:00,1747900800,toulouse,Toulouse,12.6,86.0,2.0,1000.4,16.5,300.0,196.0
2025-05-22 10:00:00,1747904400,toulouse,Toulouse,13.6,81.0,0.1,1000.7,18.3,303.0,346.0
2025-05-22 11:00:00,1747908000,toulouse,Toulouse,14.0,74.0,0.1,1000.9,20.1,307.0,385.0
2025-05-22 12:00:00,1747911600,toulouse,Toulouse,14.8,71.0,0.1,1001.0,20.0,314.0,624.0
2025-05-22 13:00:00,1747915200,toulouse,Toulouse,15.8,63.0,0.1,1001.0,19.7,321.0,691.0
2025-05-22 14:00:00,1747918800,toulouse,Toulouse,16.4,60.0,0.0,1001.0,20.4,323.0,652.0
2025-05-22 15:00:00,1747922400,toulouse,Toulouse,16.0,59.0,0.0,1001.6,19.6,316.0,502.0
2025-05-22 16:00:00,1747926000,toulouse,Toulouse,16.7,56.0,0.0,1001.2,20.0,316.0,611.0
2025-05-22 17:00:00,1747929600,toulouse,Toulouse,17.1,54.0,0.0,1001.0,20.1,316.0,495.0
2025-05-22 18:00:00,1747933200,toulouse,Toulouse,16.9,55.0,0.0,1001.2,21.3,316.0,418.0
